loan_id,credit_score,credit_score_band,ltv,ltv_band,dti,dti_band,state,loan_purpose,occupancy_type,property_type,original_balance,interest_rate,term_months,origination_month,vintage
L000030,734,680-739,67.4,61-80,17.0,<=20,WA,cash_out,owner,sfr,480734,6.25,240,2023-05-01,2023
L000031,778,740+,84.1,81-100,23.4,21-35,IL,purchase,owner,sfr,240983,5.25,240,2023-03-01,2023
L000032,737,680-739,70.4,61-80,44.7,44-50,IL,purchase,owner,sfr,173159,4.25,360,2023-10-01,2023
L000033,687,680-739,66.4,61-80,34.0,21-35,IL,cash_out,owner,sfr,433549,6.75,360,2023-11-01,2023
L000034,690,680-739,53.4,<=60,37.3,36-43,TX,purchase,investor,sfr,436341,6.5,360,2023-11-01,2023
L000035,661,620-679,60.3,61-80,48.1,44-50,IL,purchase,owner,townhouse,388010,5.75,240,2023-05-01,2023
L000036,617,<620,75.4,61-80,17.2,<=20,FL,purchase,owner,sfr,232413,4.75,360,2023-04-01,2023
L000037,646,620-679,73.8,61-80,8.0,<=20,TX,refinance,owner,sfr,257447,6.75,240,2023-03-01,2023
L000038,615,<620,41.4,<=60,48.8,44-50,CA,refinance,owner,condo,435753,7.0,360,2023-03-01,2023
L000039,634,620-679,85.9,81-100,20.6,21-35,IL,refinance,owner,sfr,196521,4.5,360,2023-12-01,2023
L000040,784,740+,61.5,61-80,33.6,21-35,NY,refinance,owner,sfr,158902,4.0,240,2023-04-01,2023
L000041,706,680-739,58.5,<=60,18.2,<=20,TX,cash_out,investor,condo,390892,3.25,360,2023-11-01,2023
L000042,601,<620,88.7,81-100,9.9,<=20,CA,purchase,owner,sfr,575025,7.25,360,2023-03-01,2023
L000043,683,680-739,89.5,81-100,32.1,21-35,CA,refinance,second_home,sfr,401933,6.25,360,2023-05-01,2023
L000044,644,620-679,61.3,61-80,37.0,36-43,NY,refinance,owner,sfr,203363,5.75,360,2023-05-01,2023
L000045,739,680-739,66.7,61-80,25.4,21-35,NY,cash_out,owner,sfr,610756,6.5,360,2023-03-01,2023
L000046,779,740+,53.6,<=60,9.9,<=20,WA,refinance,owner,sfr,234412,7.75,360,2023-06-01,2023
L000047,583,<620,84.2,81-100,35.6,36-43,NY,purchase,owner,townhouse,200204,6.25,360,2023-09-01,2023
L000048,691,680-739,85.6,81-100,49.9,44-50,WA,refinance,owner,sfr,447365,5.0,360,2023-07-01,2023
L000049,687,680-739,65.4,61-80,17.2,<=20,NY,refinance,owner,condo,284140,7.5,360,2023-08-01,2023
L000050,817,740+,92.9,81-100,39.6,36-43,NY,purchase,owner,sfr,484420,2.75,240,2023-09-01,2023
L000051,667,620-679,85.8,81-100,35.3,36-43,WA,purchase,owner,condo,411912,3.5,360,2023-10-01,2023
L000052,619,<620,70.1,61-80,16.1,<=20,CA,purchase,investor,sfr,123933,7.75,360,2023-12-01,2023
L000053,626,620-679,82.8,81-100,41.9,36-43,FL,cash_out,owner,sfr,393667,6.5,180,2023-08-01,2023
L000054,694,680-739,47.2,<=60,34.4,21-35,TX,purchase,owner,sfr,369877,4.5,240,2023-01-01,2023
L000055,722,680-739,68.1,61-80,31.5,21-35,GA,purchase,owner,townhouse,295323,5.25,240,2023-05-01,2023
L000056,658,620-679,75.8,61-80,44.3,44-50,IL,refinance,owner,sfr,334605,6.25,360,2023-05-01,2023
L000057,684,680-739,71.8,61-80,33.1,21-35,FL,refinance,owner,sfr,596375,5.75,180,2023-06-01,2023
L000058,739,680-739,102.7,100+,44.3,44-50,FL,purchase,owner,sfr,106145,6.25,240,2023-04-01,2023
L000059,651,620-679,76.7,61-80,55.0,44-50,GA,purchase,owner,sfr,110735,5.75,240,2023-04-01,2023
L000060,811,740+,77.5,61-80,34.7,21-35,FL,cash_out,owner,sfr,132439,3.0,360,2023-09-01,2023
L000061,630,620-679,52.1,<=60,36.8,36-43,IL,purchase,owner,sfr,267892,4.75,240,2023-03-01,2023
L000062,804,740+,69.2,61-80,27.7,21-35,IL,cash_out,owner,sfr,312599,6.5,360,2023-07-01,2023
L000063,789,740+,60.2,61-80,46.7,44-50,NY,purchase,second_home,sfr,472669,4.5,180,2023-05-01,2023
L000064,809,740+,107.2,100+,21.8,21-35,GA,purchase,owner,sfr,131760,4.5,360,2023-09-01,2023
L000065,771,740+,65.8,61-80,28.3,21-35,FL,purchase,investor,sfr,213697,2.5,360,2023-09-01,2023
L000066,706,680-739,73.8,61-80,32.4,21-35,IL,purchase,owner,sfr,506253,4.25,180,2023-12-01,2023
L000067,725,680-739,90.2,81-100,31.4,21-35,NY,refinance,investor,sfr,605956,5.75,240,2023-12-01,2023
L000068,629,620-679,81.8,81-100,26.6,21-35,FL,refinance,owner,sfr,561730,5.75,360,2023-11-01,2023
L000069,662,620-679,50.8,<=60,40.9,36-43,NY,purchase,second_home,sfr,224022,6.5,360,2023-11-01,2023
L000070,691,680-739,81.6,81-100,30.2,21-35,TX,purchase,investor,sfr,605063,6.5,240,2023-04-01,2023
L000071,807,740+,82.7,81-100,13.6,<=20,GA,refinance,second_home,condo,111781,4.5,360,2023-03-01,2023
L000072,770,740+,69.3,61-80,43.4,44-50,WA,cash_out,owner,sfr,388600,8.5,180,2023-01-01,2023
L000073,715,680-739,79.0,61-80,48.6,44-50,TX,purchase,owner,sfr,195584,5.25,240,2023-10-01,2023
L000074,722,680-739,73.6,61-80,28.0,21-35,FL,refinance,owner,condo,453761,6.5,240,2023-12-01,2023
L000075,683,680-739,51.2,<=60,45.2,44-50,FL,refinance,owner,sfr,517439,6.5,240,2023-02-01,2023
L000076,680,680-739,63.5,61-80,28.2,21-35,GA,purchase,owner,sfr,145257,8.25,240,2023-01-01,2023
L000077,796,740+,72.3,61-80,24.1,21-35,GA,purchase,owner,sfr,623327,4.75,360,2023-11-01,2023
L000078,580,<620,63.2,61-80,24.7,21-35,NY,refinance,owner,sfr,374325,6.25,180,2023-12-01,2023
L000079,656,620-679,80.1,81-100,47.7,44-50,FL,refinance,owner,sfr,639936,5.75,360,2023-04-01,2023
L000080,678,620-679,87.0,81-100,45.3,44-50,GA,refinance,owner,sfr,142108,6.75,180,2023-01-01,2023
L000081,747,740+,76.1,61-80,39.3,36-43,IL,refinance,owner,condo,537247,6.25,360,2023-06-01,2023
L000082,678,620-679,66.4,61-80,23.9,21-35,CA,purchase,owner,sfr,254486,5.25,180,2023-06-01,2023
L000083,655,620-679,92.4,81-100,40.2,36-43,WA,purchase,owner,sfr,391490,6.5,360,2023-02-01,2023
L000084,598,<620,74.1,61-80,23.2,21-35,CA,refinance,owner,sfr,168832,4.75,360,2023-08-01,2023
L000085,642,620-679,77.3,61-80,38.6,36-43,NY,purchase,owner,sfr,295333,8.25,180,2023-07-01,2023
L000086,605,<620,60.5,61-80,28.1,21-35,GA,purchase,owner,sfr,256198,8.0,240,2023-04-01,2023
L000087,748,740+,68.7,61-80,27.9,21-35,GA,purchase,owner,sfr,187981,6.5,360,2023-12-01,2023
L000088,682,680-739,87.0,81-100,28.3,21-35,CA,refinance,owner,sfr,189210,6.0,360,2023-10-01,2023
L000089,634,620-679,83.2,81-100,14.3,<=20,CA,purchase,owner,sfr,334536,5.75,360,2023-11-01,2023
L000090,709,680-739,69.2,61-80,17.2,<=20,GA,cash_out,second_home,sfr,81000,6.5,240,2023-06-01,2023
L000091,698,680-739,72.1,61-80,31.6,21-35,IL,purchase,owner,sfr,355164,5.25,360,2023-05-01,2023
L000092,693,680-739,75.0,61-80,23.3,21-35,CA,purchase,owner,condo,149036,4.25,180,2023-04-01,2023
L000093,719,680-739,57.9,<=60,40.4,36-43,IL,purchase,investor,sfr,114111,6.5,360,2023-02-01,2023
L000094,730,680-739,69.2,61-80,43.6,44-50,GA,purchase,owner,sfr,302744,6.0,240,2023-11-01,2023
L000095,625,620-679,64.3,61-80,19.0,<=20,NY,purchase,owner,sfr,219251,8.25,360,2023-08-01,2023
L000096,617,<620,51.2,<=60,19.4,<=20,NY,purchase,owner,condo,311358,5.75,240,2023-06-01,2023
L000097,755,740+,74.3,61-80,31.5,21-35,CA,purchase,owner,sfr,628749,6.75,240,2023-09-01,2023
L000098,813,740+,69.8,61-80,50.5,44-50,FL,refinance,second_home,condo,419423,4.25,360,2023-03-01,2023
L000099,711,680-739,50.0,<=60,25.9,21-35,TX,refinance,owner,condo,277014,6.0,360,2023-11-01,2023
L000100,688,680-739,60.1,61-80,37.4,36-43,TX,purchase,owner,condo,307161,6.5,360,2023-11-01,2023
L000101,729,680-739,70.7,61-80,18.1,<=20,IL,cash_out,owner,sfr,141232,6.0,360,2023-10-01,2023
L000102,588,<620,30.0,<=60,24.7,21-35,CA,refinance,owner,sfr,309393,6.0,360,2023-02-01,2023
L000103,669,620-679,74.8,61-80,37.2,36-43,CA,refinance,owner,condo,112746,7.25,180,2023-11-01,2023
L000104,666,620-679,76.0,61-80,30.7,21-35,GA,refinance,owner,sfr,561923,5.0,180,2023-04-01,2023
L000105,680,680-739,81.7,81-100,37.4,36-43,NY,purchase,investor,sfr,457853,7.75,180,2023-09-01,2023
L000106,758,740+,63.1,61-80,34.0,21-35,GA,refinance,investor,sfr,619634,3.25,360,2023-05-01,2023
L000107,698,680-739,50.7,<=60,32.7,21-35,NY,refinance,owner,sfr,165464,7.25,240,2023-05-01,2023
L000108,785,740+,81.4,81-100,32.5,21-35,FL,cash_out,owner,sfr,254177,4.5,360,2023-07-01,2023
L000109,692,680-739,51.4,<=60,45.2,44-50,WA,refinance,owner,sfr,389869,5.5,360,2023-12-01,2023
L000110,588,<620,80.1,81-100,32.2,21-35,GA,cash_out,owner,sfr,369613,4.75,240,2023-06-01,2023
L000111,742,740+,61.9,61-80,40.5,36-43,WA,refinance,owner,condo,642733,5.5,360,2023-04-01,2023
L000112,771,740+,56.8,<=60,30.4,21-35,FL,refinance,owner,townhouse,125252,5.75,360,2023-12-01,2023
L000113,718,680-739,76.4,61-80,33.6,21-35,IL,purchase,owner,condo,520742,6.75,360,2023-06-01,2023
L000114,805,740+,88.8,81-100,23.1,21-35,CA,refinance,owner,sfr,382509,6.5,360,2023-08-01,2023
L000115,679,620-679,69.6,61-80,13.9,<=20,WA,cash_out,owner,condo,497223,6.0,360,2023-08-01,2023
L000116,771,740+,68.3,61-80,28.9,21-35,FL,purchase,owner,sfr,242716,5.5,360,2023-10-01,2023
L000117,580,<620,46.7,<=60,33.6,21-35,IL,purchase,second_home,sfr,638956,7.5,240,2023-08-01,2023
L000118,589,<620,84.5,81-100,28.4,21-35,CA,purchase,owner,sfr,591694,7.25,180,2023-02-01,2023
L000119,770,740+,73.1,61-80,37.6,36-43,NY,purchase,second_home,townhouse,197199,7.0,240,2023-09-01,2023
L000120,789,740+,67.9,61-80,25.5,21-35,IL,purchase,owner,sfr,310445,5.5,360,2023-05-01,2023
L000121,704,680-739,91.6,81-100,20.1,21-35,FL,purchase,owner,sfr,255315,5.0,360,2023-07-01,2023
L000122,760,740+,48.5,<=60,19.4,<=20,FL,purchase,owner,condo,138605,6.25,180,2023-03-01,2023
L000123,658,620-679,64.4,61-80,38.5,36-43,GA,refinance,owner,sfr,486392,4.25,180,2023-02-01,2023
L000124,754,740+,72.1,61-80,25.2,21-35,WA,purchase,investor,condo,279689,4.0,360,2023-05-01,2023
L000125,699,680-739,67.6,61-80,32.6,21-35,TX,refinance,owner,condo,574368,5.75,240,2023-10-01,2023
L000126,652,620-679,35.5,<=60,19.8,<=20,WA,cash_out,owner,sfr,290158,6.25,240,2023-11-01,2023
L000127,602,<620,77.2,61-80,24.7,21-35,TX,purchase,owner,sfr,419504,8.25,360,2023-09-01,2023
L000128,621,620-679,71.5,61-80,32.3,21-35,NY,purchase,investor,townhouse,100059,6.75,360,2023-03-01,2023
L000129,797,740+,87.2,81-100,42.2,36-43,IL,refinance,owner,sfr,285843,5.0,240,2023-02-01,2023
L000130,686,680-739,102.6,100+,22.8,21-35,WA,purchase,owner,sfr,582050,7.0,360,2023-03-01,2023
L000131,817,740+,69.2,61-80,19.3,<=20,GA,refinance,owner,sfr,333380,5.75,360,2023-08-01,2023
L000132,664,620-679,77.8,61-80,32.3,21-35,WA,refinance,owner,sfr,217523,7.0,180,2023-10-01,2023
L000133,594,<620,75.8,61-80,33.7,21-35,CA,purchase,owner,sfr,468232,8.0,360,2023-03-01,2023
L000134,641,620-679,74.5,61-80,28.4,21-35,GA,refinance,owner,sfr,360772,7.5,240,2023-02-01,2023
L000135,665,620-679,69.9,61-80,43.3,44-50,WA,refinance,owner,sfr,618976,6.25,360,2023-07-01,2023
L000136,748,740+,77.8,61-80,16.8,<=20,CA,refinance,owner,sfr,264421,5.0,360,2023-08-01,2023
L000137,755,740+,88.9,81-100,24.9,21-35,GA,cash_out,owner,sfr,140877,4.0,240,2023-06-01,2023
L000138,756,740+,59.3,<=60,32.3,21-35,CA,purchase,owner,sfr,565811,6.5,360,2023-11-01,2023
L000139,655,620-679,100.5,100+,24.4,21-35,TX,refinance,owner,sfr,626665,6.5,180,2023-03-01,2023
L000140,671,620-679,79.6,61-80,35.3,36-43,FL,refinance,investor,sfr,236726,7.25,240,2023-10-01,2023
L000141,716,680-739,76.5,61-80,32.3,21-35,GA,purchase,owner,sfr,143567,5.75,360,2023-05-01,2023
L000142,725,680-739,38.3,<=60,30.0,21-35,IL,refinance,owner,townhouse,346244,6.25,180,2023-05-01,2023
L000143,679,620-679,71.8,61-80,54.0,44-50,TX,refinance,owner,sfr,179087,6.25,360,2023-04-01,2023
L000144,625,620-679,57.4,<=60,23.3,21-35,NY,purchase,owner,condo,379633,4.75,360,2023-06-01,2023
L000145,765,740+,80.6,81-100,29.9,21-35,GA,cash_out,owner,sfr,335496,5.0,360,2023-09-01,2023
L000146,704,680-739,86.3,81-100,36.7,36-43,TX,refinance,owner,sfr,341443,3.5,180,2023-12-01,2023
L000147,810,740+,89.2,81-100,25.5,21-35,FL,purchase,owner,townhouse,163993,5.25,360,2023-01-01,2023
L000148,807,740+,69.5,61-80,33.5,21-35,WA,refinance,owner,townhouse,572081,8.75,360,2023-09-01,2023
L000149,793,740+,70.9,61-80,40.0,36-43,TX,refinance,owner,sfr,395729,6.5,360,2023-04-01,2023
L000150,810,740+,78.6,61-80,34.2,21-35,FL,refinance,owner,sfr,546815,6.75,240,2023-07-01,2023
L000151,729,680-739,40.5,<=60,39.0,36-43,FL,cash_out,owner,sfr,321249,5.5,360,2023-01-01,2023
L000152,651,620-679,65.5,61-80,28.9,21-35,IL,cash_out,second_home,sfr,406840,5.5,360,2023-02-01,2023
L000153,618,<620,63.9,61-80,29.9,21-35,IL,purchase,owner,townhouse,235990,6.25,240,2023-08-01,2023
L000154,605,<620,79.8,61-80,49.6,44-50,NY,refinance,owner,sfr,633460,7.75,180,2023-02-01,2023
L000155,807,740+,65.1,61-80,36.5,36-43,IL,purchase,owner,sfr,571180,3.75,360,2023-12-01,2023
L000156,644,620-679,83.2,81-100,41.0,36-43,IL,purchase,owner,townhouse,622899,9.25,360,2023-09-01,2023
L000157,585,<620,69.1,61-80,26.4,21-35,FL,purchase,owner,townhouse,303186,6.25,360,2023-07-01,2023
L000158,589,<620,84.8,81-100,30.3,21-35,FL,purchase,owner,sfr,516020,6.5,180,2023-11-01,2023
L000159,651,620-679,105.3,100+,42.8,36-43,GA,refinance,owner,sfr,532965,7.75,360,2023-12-01,2023
L000160,815,740+,95.4,81-100,33.1,21-35,FL,refinance,investor,sfr,591907,5.5,360,2023-09-01,2023
L000161,647,620-679,86.2,81-100,21.1,21-35,NY,purchase,owner,sfr,223867,7.5,360,2023-08-01,2023
L000162,604,<620,89.2,81-100,24.2,21-35,CA,refinance,second_home,sfr,230807,4.25,360,2023-04-01,2023
L000163,741,740+,66.5,61-80,31.7,21-35,NY,refinance,owner,sfr,513780,5.25,180,2023-10-01,2023
L000164,594,<620,60.4,61-80,46.4,44-50,WA,cash_out,owner,sfr,129176,6.75,240,2023-02-01,2023
L000165,696,680-739,59.3,<=60,37.1,36-43,IL,purchase,investor,sfr,112991,6.0,240,2023-07-01,2023
L000166,600,<620,74.9,61-80,25.5,21-35,WA,purchase,owner,townhouse,546125,9.0,360,2023-08-01,2023
L000167,602,<620,94.1,81-100,32.2,21-35,IL,purchase,investor,sfr,449729,6.0,360,2023-11-01,2023
L000168,666,620-679,61.1,61-80,32.9,21-35,NY,purchase,owner,condo,636758,6.5,240,2023-06-01,2023
L000169,583,<620,79.0,61-80,17.3,<=20,WA,purchase,owner,sfr,486169,9.0,360,2023-02-01,2023
L000170,784,740+,53.3,<=60,32.1,21-35,WA,purchase,owner,sfr,317473,2.75,240,2023-02-01,2023
L000171,725,680-739,53.8,<=60,29.2,21-35,CA,purchase,owner,sfr,298602,4.25,180,2023-06-01,2023
L000172,804,740+,84.9,81-100,31.0,21-35,TX,purchase,owner,sfr,421870,4.75,180,2023-07-01,2023
L000173,697,680-739,61.7,61-80,24.3,21-35,WA,purchase,owner,sfr,555465,5.0,360,2023-04-01,2023
L000174,713,680-739,61.3,61-80,35.8,36-43,IL,refinance,owner,condo,472519,4.5,360,2023-01-01,2023
L000175,724,680-739,101.6,100+,28.7,21-35,TX,refinance,investor,sfr,437041,6.0,240,2023-04-01,2023
L000176,691,680-739,73.0,61-80,25.4,21-35,GA,purchase,owner,condo,562268,7.75,360,2023-09-01,2023
L000177,715,680-739,71.3,61-80,49.1,44-50,CA,purchase,owner,sfr,252304,4.25,360,2023-07-01,2023
L000178,717,680-739,68.6,61-80,29.0,21-35,IL,refinance,owner,sfr,633694,7.25,360,2023-03-01,2023
L000179,793,740+,78.2,61-80,20.1,21-35,IL,refinance,investor,townhouse,528025,4.0,360,2023-02-01,2023
L000180,652,620-679,61.4,61-80,43.4,44-50,CA,purchase,owner,condo,156114,5.75,240,2023-12-01,2023
L000181,800,740+,72.9,61-80,45.1,44-50,TX,refinance,owner,sfr,281467,6.5,360,2023-11-01,2023
L000182,621,620-679,88.3,81-100,23.7,21-35,GA,cash_out,owner,sfr,281375,7.5,360,2023-07-01,2023
L000183,625,620-679,67.2,61-80,28.5,21-35,IL,refinance,owner,sfr,261082,6.75,360,2023-04-01,2023
L000184,641,620-679,36.3,<=60,30.8,21-35,CA,refinance,owner,townhouse,210562,6.5,360,2023-09-01,2023
L000185,806,740+,62.2,61-80,28.8,21-35,NY,cash_out,owner,condo,300388,5.0,240,2023-01-01,2023
L000186,638,620-679,83.5,81-100,19.9,<=20,FL,purchase,owner,sfr,291979,5.0,360,2023-04-01,2023
L000187,769,740+,88.8,81-100,22.6,21-35,WA,cash_out,second_home,sfr,524418,7.0,240,2023-03-01,2023
L000188,719,680-739,77.5,61-80,51.6,44-50,IL,purchase,owner,condo,317602,6.5,360,2023-05-01,2023
L000189,733,680-739,93.4,81-100,26.9,21-35,GA,refinance,owner,condo,497536,3.5,360,2023-05-01,2023
L000190,598,<620,56.4,<=60,27.5,21-35,TX,purchase,owner,sfr,233877,8.0,240,2023-12-01,2023
L000191,738,680-739,91.2,81-100,39.3,36-43,NY,purchase,second_home,sfr,398832,4.0,360,2023-05-01,2023
L000192,596,<620,75.1,61-80,28.0,21-35,GA,purchase,second_home,sfr,403024,7.75,180,2023-07-01,2023
L000193,711,680-739,82.1,81-100,26.3,21-35,IL,cash_out,owner,townhouse,628967,4.25,360,2023-01-01,2023
L000194,768,740+,30.0,<=60,22.9,21-35,TX,purchase,owner,sfr,344448,8.0,360,2023-01-01,2023
L000195,800,740+,85.4,81-100,37.1,36-43,CA,purchase,owner,sfr,448441,6.75,360,2023-03-01,2023
L000196,817,740+,75.5,61-80,34.1,21-35,CA,refinance,owner,townhouse,307008,6.25,360,2023-05-01,2023
L000197,635,620-679,100.6,100+,42.4,36-43,NY,refinance,owner,sfr,314425,7.25,180,2023-07-01,2023
L000198,764,740+,74.8,61-80,28.5,21-35,CA,purchase,owner,sfr,326488,4.0,360,2023-11-01,2023
L000199,723,680-739,57.4,<=60,44.0,44-50,GA,refinance,owner,sfr,546787,4.5,360,2023-04-01,2023
L000200,756,740+,60.0,<=60,33.7,21-35,FL,refinance,owner,sfr,449538,7.25,240,2023-08-01,2023
L000201,775,740+,78.1,61-80,27.5,21-35,NY,cash_out,second_home,condo,436016,6.0,240,2023-05-01,2023
L000202,693,680-739,76.6,61-80,36.4,36-43,FL,purchase,owner,sfr,120715,6.5,240,2023-07-01,2023
L000203,612,<620,62.5,61-80,35.4,36-43,FL,refinance,owner,sfr,532096,5.75,180,2023-09-01,2023
L000204,769,740+,56.0,<=60,34.8,21-35,FL,purchase,second_home,sfr,349546,4.75,360,2023-11-01,2023
L000205,727,680-739,94.7,81-100,25.5,21-35,TX,cash_out,owner,condo,463509,5.25,360,2023-09-01,2023
L000206,612,<620,68.4,61-80,31.4,21-35,WA,refinance,owner,sfr,351313,7.25,360,2023-03-01,2023
L000207,676,620-679,71.0,61-80,30.5,21-35,NY,purchase,owner,sfr,588781,7.75,180,2023-07-01,2023
L000208,614,<620,64.0,61-80,38.9,36-43,IL,cash_out,investor,sfr,437564,9.25,360,2023-05-01,2023
L000209,763,740+,93.0,81-100,43.9,44-50,GA,cash_out,owner,condo,619861,5.5,360,2023-06-01,2023
L000210,660,620-679,88.7,81-100,39.8,36-43,IL,purchase,second_home,condo,285837,6.75,360,2023-10-01,2023
L000211,596,<620,56.7,<=60,39.0,36-43,IL,purchase,investor,sfr,633958,6.0,240,2023-06-01,2023
L000212,648,620-679,70.9,61-80,42.3,36-43,NY,purchase,owner,condo,347755,4.0,180,2023-06-01,2023
L000213,725,680-739,58.2,<=60,43.4,44-50,CA,purchase,owner,sfr,520967,6.5,360,2023-04-01,2023
L000214,721,680-739,99.8,81-100,28.8,21-35,TX,purchase,owner,sfr,278815,3.75,180,2023-05-01,2023
L000215,785,740+,78.6,61-80,21.8,21-35,FL,cash_out,owner,sfr,585214,4.75,180,2023-12-01,2023
L000216,666,620-679,67.8,61-80,33.8,21-35,NY,purchase,owner,sfr,527234,6.25,240,2023-05-01,2023
L000217,730,680-739,66.9,61-80,45.9,44-50,FL,refinance,second_home,sfr,245530,6.5,240,2023-02-01,2023
L000218,806,740+,80.2,81-100,21.1,21-35,WA,refinance,owner,sfr,110701,5.0,360,2023-01-01,2023
L000219,657,620-679,68.3,61-80,23.7,21-35,FL,cash_out,investor,condo,543047,7.5,360,2023-10-01,2023
L000220,587,<620,95.1,81-100,32.9,21-35,GA,refinance,owner,sfr,273971,8.25,240,2023-02-01,2023
L000221,737,680-739,58.1,<=60,27.4,21-35,WA,refinance,investor,sfr,612235,5.0,360,2023-04-01,2023
L000222,724,680-739,53.5,<=60,41.3,36-43,IL,purchase,owner,sfr,489048,4.5,360,2023-01-01,2023
L000223,661,620-679,93.2,81-100,33.1,21-35,GA,purchase,owner,sfr,329469,6.75,360,2023-11-01,2023
L000224,715,680-739,65.6,61-80,39.9,36-43,GA,refinance,owner,sfr,424340,6.25,360,2023-01-01,2023
L000225,740,740+,93.3,81-100,35.1,36-43,TX,purchase,owner,sfr,176203,6.0,180,2023-12-01,2023
L000226,776,740+,85.2,81-100,36.0,36-43,FL,purchase,owner,sfr,400378,6.0,360,2023-08-01,2023
L000227,610,<620,51.6,<=60,21.8,21-35,IL,purchase,investor,sfr,219288,4.75,240,2023-08-01,2023
L000228,693,680-739,62.9,61-80,26.6,21-35,CA,refinance,owner,condo,182147,5.75,360,2023-05-01,2023
L000229,647,620-679,72.7,61-80,14.7,<=20,TX,purchase,owner,condo,345263,8.5,180,2023-11-01,2023
L000230,660,620-679,68.7,61-80,25.4,21-35,CA,refinance,owner,sfr,232347,5.75,360,2023-02-01,2023
L000231,587,<620,76.5,61-80,27.4,21-35,NY,purchase,owner,townhouse,147450,7.5,360,2023-11-01,2023
L000232,681,680-739,62.8,61-80,35.5,36-43,IL,purchase,investor,condo,375170,5.25,360,2023-12-01,2023
L000233,600,<620,70.7,61-80,22.0,21-35,IL,refinance,owner,sfr,508743,8.0,240,2023-04-01,2023
L000234,802,740+,87.0,81-100,48.4,44-50,GA,refinance,owner,condo,362166,5.25,240,2023-08-01,2023
L000235,713,680-739,92.0,81-100,43.4,44-50,FL,cash_out,owner,sfr,218956,4.75,360,2023-02-01,2023
