loan_id,reporting_month,origination_month,month_index,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score,ltv,servicer_name,current_status,days_past_due,document_status,last_updated_at,source_system,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_type,exception_required
L000001,2024-03-01,2023-11-01,4,4,236,316239,309454.38,7.25,623,69.7,Cedar,Current,0,complete,2024-03-17,core,0.0,1.0,1.0,0.0,current,none,0
L000001,2024-04-01,2023-11-01,5,5,235,316239,308344.11,7.25,615,69.4,Cedar,Current,0,complete,2024-04-08,core,0.0,1.0,1.0,0.0,current,none,0
L000001,2024-05-01,2023-11-01,6,6,234,316239,306936.83,7.25,610,69.1,Cedar,Current,0,complete,2024-05-14,core,1.0,1.0,1.0,0.0,current,none,0
L000001,2024-06-01,2023-11-01,7,7,233,316239,305694.22,7.25,609,68.8,Cedar,Current,0,pending,2024-06-19,core,1.0,1.0,1.0,0.0,current,none,0
L000001,2024-09-01,2023-11-01,10,10,230,316239,301885.84,7.25,613,68.0,Cedar,Current,0,pending,2024-09-09,core,1.0,1.0,1.0,0.0,30_dpd,none,0
L000001,2024-10-01,2023-11-01,11,11,229,316239,300849.21,7.25,637,67.7,Cedar,30 DPD,30,complete,2024-10-19,core,1.0,1.0,1.0,0.0,60_dpd,none,0
L000001,2024-11-01,2023-11-01,12,12,228,316239,299462.14,7.25,654,67.4,Cedar,60 DPD,60,complete,2024-11-17,core,1.0,1.0,1.0,0.0,default,none,0
L000001,2024-12-01,2023-11-01,13,13,227,316239,299462.14,7.25,620,67.4,Cedar,Default,120,complete,2025-03-31,core,,,,0.0,default,none,0
L000002,2023-03-01,2023-03-01,0,0,360,332146,332146.0,5.75,599,43.6,Cedar,Prepaid,0,pending,2023-03-02,core,0.0,0.0,0.0,,prepaid,none,0
L000002,2023-04-01,2023-03-01,1,1,359,332146,332146.0,5.75,592,43.6,Cedar,Prepaid,0,complete,2023-04-04,core,0.0,0.0,0.0,,prepaid,none,0
L000002,2023-06-01,2023-03-01,3,3,357,332146,332146.0,5.75,590,43.6,Cedar,Prepaid,0,complete,2023-06-09,core,0.0,0.0,0.0,,prepaid,none,0
L000002,2023-07-01,2023-03-01,4,4,356,332146,332146.0,5.75,591,43.6,Cedar,Prepaid,0,complete,2023-07-05,core,0.0,0.0,0.0,,prepaid,none,0
L000002,2023-09-01,2023-03-01,6,6,354,332146,332146.0,5.75,600,43.6,Cedar,Prepaid,0,complete,2023-09-14,core,0.0,0.0,0.0,,prepaid,none,0
L000002,2024-01-01,2023-03-01,10,10,350,332146,332146.0,5.75,587,43.6,Cedar,Prepaid,0,complete,2024-01-07,core,0.0,0.0,0.0,,prepaid,none,0
L000002,2024-02-01,2023-03-01,11,11,349,332146,332146.0,5.75,587,43.6,Cedar,Prepaid,0,complete,2024-02-10,core,0.0,0.0,0.0,,prepaid,none,0
L000002,2024-05-01,2023-03-01,14,14,346,332146,332146.0,5.75,577,43.6,Cedar,Prepaid,0,complete,2024-05-12,core,0.0,0.0,0.0,,prepaid,none,0
L000002,2024-08-01,2023-03-01,17,17,343,332146,332146.0,5.75,566,43.6,Cedar,Prepaid,0,complete,2024-08-17,core,0.0,0.0,0.0,,prepaid,none,0
L000002,2024-09-01,2023-03-01,18,18,342,332146,332146.0,5.75,604,43.6,Cedar,Prepaid,0,complete,2024-09-17,core,0.0,0.0,0.0,,prepaid,none,0
L000002,2024-10-01,2023-03-01,19,19,341,332146,332146.0,5.75,584,43.6,Cedar,Prepaid,0,complete,2024-10-16,core,0.0,0.0,0.0,,prepaid,none,0
L000002,2024-11-01,2023-03-01,20,20,340,332146,332146.0,5.75,603,43.6,Cedar,Prepaid,0,complete,2024-11-06,core,0.0,0.0,0.0,,prepaid,none,0
L000003,2024-01-01,2023-11-01,2,2,358,607601,601958.29,3.75,724,67.3,Atlas,Current,0,complete,2024-01-20,core,0.0,0.0,0.0,1.0,current,source_conflict,1
L000003,2024-03-01,2023-11-01,4,4,356,607601,597796.81,3.75,720,66.8,Atlas,Delinquent,0,complete,2024-03-17,core,0.0,0.0,0.0,1.0,prepaid,source_conflict,1
L000003,2024-05-01,2023-11-01,6,6,354,607601,597796.81,3.75,734,66.8,Atlas,Prepaid,0,complete,2024-05-19,core,0.0,0.0,0.0,,prepaid,source_conflict,0
L000003,2024-07-01,2023-11-01,8,8,352,607601,597796.81,3.75,729,66.8,Atlas,Prepaid,0,complete,2024-07-16,core,0.0,0.0,0.0,,prepaid,source_conflict,1
L000003,2024-09-01,2023-11-01,10,10,350,607601,597796.81,3.75,750,66.8,Atlas,Prepaid,0,pending,2024-09-14,core,0.0,0.0,0.0,,prepaid,source_conflict,0
L000003,2024-12-01,2023-11-01,13,13,347,607601,597796.81,3.75,733,66.8,Atlas,Prepaid,0,complete,2024-12-03,core,0.0,0.0,0.0,,prepaid,source_conflict,1
L000004,2023-11-01,2023-11-01,0,0,360,436335,435259.68,6.25,680,49.7,Beacon,Current,0,complete,2023-11-02,core,0.0,0.0,0.0,1.0,current,none,0
L000004,2023-12-01,2023-11-01,1,1,359,436335,434195.65,6.25,664,49.6,Beacon,Current,0,complete,2023-12-09,core,0.0,0.0,0.0,1.0,current,none,0
L000004,2024-02-01,2023-11-01,3,3,357,436335,431291.38,6.25,660,49.2,Beacon,Current,0,complete,2024-02-03,core,0.0,0.0,0.0,1.0,current,none,0
L000004,2024-04-01,2023-11-01,5,5,355,436335,428646.09,6.25,677,48.9,Beacon,Current,0,complete,2024-04-18,core,0.0,0.0,0.0,1.0,prepaid,none,0
L000004,2024-06-01,2023-11-01,7,7,353,436335,428646.09,6.25,687,48.9,Beacon,Prepaid,0,complete,2024-06-14,core,0.0,0.0,0.0,,prepaid,none,0
L000004,2024-07-01,2023-11-01,8,8,352,436335,428646.09,6.25,663,48.9,Beacon,Prepaid,0,complete,2024-07-17,core,0.0,0.0,0.0,,prepaid,none,0
L000004,2024-08-01,2023-11-01,9,9,351,436335,428646.09,6.25,669,48.9,Beacon,Prepaid,0,complete,2024-08-08,core,0.0,0.0,0.0,,prepaid,none,0
L000004,2024-09-01,2023-11-01,10,10,350,436335,428646.09,6.25,657,48.9,Beacon,Prepaid,0,complete,2024-09-15,core,0.0,0.0,0.0,,prepaid,none,0
L000005,2023-06-01,2023-06-01,0,0,360,543019,541574.06,4.5,694,62.4,Beacon,Current,0,complete,2023-09-29,core,0.0,0.0,0.0,1.0,current,none,0
L000005,2023-07-01,2023-06-01,1,1,359,543019,540431.95,4.5,704,62.3,Beacon,Current,0,complete,2023-07-13,core,0.0,0.0,0.0,1.0,current,none,0
L000005,2023-08-01,2023-06-01,2,2,358,543019,538982.42,4.5,712,62.1,Beacon,Current,0,complete,2023-08-09,core,0.0,0.0,0.0,1.0,current,none,0
L000005,2023-09-01,2023-06-01,3,3,357,543019,537336.99,4.5,685,61.9,Beacon,Current,0,complete,2023-09-11,core,0.0,0.0,0.0,1.0,current,none,0
L000005,2023-10-01,2023-06-01,4,4,356,543019,535375.94,4.5,689,61.7,Beacon,Current,0,complete,2023-10-18,core,0.0,0.0,0.0,1.0,current,none,0
L000005,2023-11-01,2023-06-01,5,5,355,543019,534173.97,4.5,683,61.6,Beacon,Current,0,complete,2023-11-08,core,0.0,0.0,0.0,1.0,prepaid,none,0
L000005,2024-02-01,2023-06-01,8,8,352,543019,534173.97,4.5,685,61.6,Beacon,Prepaid,0,complete,2024-02-18,core,0.0,0.0,0.0,,prepaid,none,0
L000005,2024-03-01,2023-06-01,9,9,351,543019,534173.97,4.5,685,61.6,Beacon,Prepaid,0,complete,2024-03-15,core,0.0,0.0,0.0,,prepaid,none,0
L000005,2024-04-01,2023-06-01,10,10,350,543019,534173.97,4.5,701,61.6,Beacon,Prepaid,0,complete,2024-04-10,core,0.0,0.0,0.0,,prepaid,none,0
L000005,2024-06-01,2023-06-01,12,12,348,543019,534173.97,4.5,684,61.6,Beacon,Prepaid,0,complete,2024-06-19,core,0.0,0.0,0.0,,prepaid,none,0
L000005,2024-07-01,2023-06-01,13,13,347,543019,534173.97,4.5,697,61.6,Beacon,Prepaid,0,complete,2024-07-02,core,0.0,0.0,0.0,,prepaid,none,0
L000005,2024-08-01,2023-06-01,14,14,346,543019,534173.97,4.5,701,61.6,Beacon,Prepaid,0,complete,2024-08-07,core,0.0,0.0,0.0,,prepaid,none,0
L000005,2024-09-01,2023-06-01,15,15,345,543019,534173.97,4.5,703,61.6,Beacon,Prepaid,0,complete,2024-09-02,core,0.0,0.0,0.0,,prepaid,none,0
L000005,2024-10-01,2023-06-01,16,16,344,543019,534173.97,4.5,710,61.6,Beacon,Prepaid,0,complete,2024-10-09,core,0.0,0.0,0.0,,prepaid,none,0
L000005,2024-11-01,2023-06-01,17,17,343,543019,534173.97,4.5,681,61.6,Beacon,Prepaid,0,complete,2024-11-10,core,0.0,0.0,0.0,,prepaid,none,0
L000005,2024-12-01,2023-06-01,18,18,342,543019,534173.97,4.5,684,61.6,Beacon,Prepaid,0,complete,2024-12-16,core,0.0,0.0,0.0,,prepaid,none,0
L000006,2023-04-01,2023-04-01,0,0,360,599770,598550.6,6.0,596,60.6,Atlas,30 DPD,30,complete,2023-04-10,core,1.0,1.0,0.0,1.0,60_dpd,none,0
L000006,2023-05-01,2023-04-01,1,1,359,599770,597451.47,6.0,603,60.5,Atlas,Current,60,complete,2023-05-07,core,1.0,1.0,0.0,1.0,30_dpd,none,0
L000006,2023-08-01,2023-04-01,4,4,356,599770,592373.71,6.0,597,60.0,Atlas,30 DPD,30,complete,2023-08-20,core,1.0,1.0,0.0,1.0,60_dpd,none,0
L000006,2023-09-01,2023-04-01,5,5,355,599770,590684.81,6.0,601,59.8,Atlas,60 DPD,60,complete,2023-09-11,core,0.0,0.0,0.0,1.0,current,none,0
L000006,2023-10-01,2023-04-01,6,6,354,599770,588781.31,6.0,602,59.6,Atlas,Current,0,complete,2023-10-11,core,0.0,0.0,0.0,1.0,current,none,0
L000006,2023-12-01,2023-04-01,8,8,352,599770,584965.36,6.0,599,59.2,Atlas,Delinquent,0,complete,2023-12-04,core,0.0,0.0,0.0,1.0,current,none,0
L000006,2024-02-01,2023-04-01,10,10,350,599770,580844.14,6.0,603,58.8,Atlas,Current,0,pending,2024-02-17,core,0.0,0.0,0.0,1.0,current,none,0
L000006,2024-03-01,2023-04-01,11,11,349,599770,579042.8,6.0,598,58.6,Atlas,Current,0,complete,2024-03-20,core,0.0,0.0,0.0,1.0,prepaid,none,0
L000006,2024-04-01,2023-04-01,12,12,348,599770,579042.8,6.0,602,58.6,Atlas,Prepaid,0,complete,2024-04-18,core,0.0,0.0,0.0,,prepaid,none,0
L000006,2024-06-01,2023-04-01,14,14,346,599770,579042.8,6.0,593,58.6,Atlas,Prepaid,0,complete,2024-06-05,core,0.0,0.0,0.0,,prepaid,none,0
L000006,2024-07-01,2023-04-01,15,15,345,599770,579042.8,6.0,609,58.6,Atlas,Prepaid,0,complete,2024-07-14,core,0.0,0.0,0.0,,prepaid,none,0
L000006,2024-08-01,2023-04-01,16,16,344,599770,579042.8,6.0,595,58.6,Atlas,Prepaid,0,complete,2024-08-09,core,0.0,0.0,0.0,,prepaid,none,0
L000006,2024-09-01,2023-04-01,17,17,343,599770,579042.8,6.0,583,58.6,Atlas,Prepaid,0,complete,2024-09-15,core,0.0,0.0,0.0,,prepaid,none,0
L000007,2023-07-01,2023-07-01,0,0,360,140635,140175.52,6.5,675,79.5,Beacon,Current,0,complete,2023-07-09,core,0.0,0.0,0.0,0.0,current,none,0
L000007,2023-09-01,2023-07-01,2,2,358,140635,139390.79,6.5,658,79.1,Beacon,Current,0,complete,2023-09-14,core,0.0,0.0,0.0,1.0,current,none,0
L000007,2024-01-01,2023-07-01,6,6,354,140635,137899.51,6.5,677,78.2,Beacon,Current,0,pending,2024-01-14,core,0.0,0.0,0.0,1.0,current,none,0
L000007,2024-02-01,2023-07-01,7,7,353,140635,137553.45,6.5,662,78.1,Beacon,Delinquent,0,complete,2024-02-09,core,0.0,0.0,0.0,1.0,current,none,0
L000007,2024-03-01,2023-07-01,8,8,352,140635,137169.07,6.5,669,77.8,Beacon,Current,0,complete,2024-03-05,core,0.0,0.0,0.0,1.0,current,none,0
L000007,2024-04-01,2023-07-01,9,9,351,140635,136811.07,6.5,663,77.6,Beacon,Current,0,pending,2024-04-03,core,0.0,0.0,0.0,1.0,current,none,0
L000007,2024-05-01,2023-07-01,10,10,350,140635,136451.07,6.5,679,77.4,Beacon,Current,0,complete,2024-05-04,core,0.0,0.0,0.0,1.0,current,none,0
L000007,2024-06-01,2023-07-01,11,11,349,140635,135221.8,6.5,669,77.2,Beacon,Current,0,complete,2024-06-12,core,0.0,0.0,0.0,1.0,current,none,0
L000007,2024-08-01,2023-07-01,13,13,347,140635,135132.89,6.5,673,76.7,Beacon,Current,0,pending,2024-08-07,core,0.0,0.0,0.0,1.0,current,none,0
L000007,2024-10-01,2023-07-01,15,15,345,140635,134307.38,6.5,680,76.2,Beacon,Current,0,complete,2024-10-02,core,0.0,0.0,0.0,1.0,current,none,1
L000007,2024-11-01,2023-07-01,16,16,344,140635,133932.6,6.5,653,76.0,Beacon,Current,0,complete,2024-11-06,core,0.0,0.0,0.0,1.0,current,none,0
L000008,2023-11-01,2023-11-01,0,0,240,145936,145352.95,6.25,738,62.1,Atlas,Current,0,complete,2023-11-14,core,0.0,0.0,0.0,1.0,current,none,0
L000008,2023-12-01,2023-11-01,1,1,239,145936,144792.69,6.25,701,61.8,Atlas,Current,0,complete,2023-12-14,core,0.0,0.0,0.0,1.0,current,none,0
L000008,2024-02-01,2023-11-01,3,3,237,145936,143745.01,6.25,737,61.4,Atlas,Current,0,complete,2024-02-06,core,0.0,0.0,0.0,1.0,current,none,0
L000008,2024-04-01,2023-11-01,5,5,235,145936,142296.8,6.25,720,60.7,Atlas,Current,0,complete,2024-04-08,core,0.0,0.0,0.0,1.0,current,none,0
L000008,2024-06-01,2023-11-01,7,7,233,145936,141226.74,6.25,726,60.3,Atlas,Current,0,pending,2024-06-10,core,0.0,0.0,0.0,1.0,current,none,0
L000008,2024-08-01,2023-11-01,9,9,231,145936,140035.38,6.25,742,59.8,Atlas,Current,0,complete,2024-08-04,core,0.0,0.0,0.0,1.0,current,none,0
L000008,2024-09-01,2023-11-01,10,10,230,145936,139212.14,6.25,736,59.4,Atlas,Current,0,pending,2024-09-10,core,0.0,0.0,0.0,1.0,current,none,0
L000008,2024-10-01,2023-11-01,11,11,229,145936,138440.38,6.25,720,59.1,Atlas,Current,0,complete,2024-10-09,core,0.0,0.0,0.0,1.0,prepaid,none,0
L000009,2023-05-01,2023-05-01,0,0,360,633525,631648.67,8.0,656,54.6,Beacon,Current,30,complete,2023-05-20,core,0.0,0.0,0.0,1.0,current,source_conflict,1
L000009,2023-06-01,2023-05-01,1,1,359,633525,629878.89,8.0,661,54.5,Beacon,Current,0,pending,2023-06-05,core,0.0,0.0,0.0,1.0,current,source_conflict,1
L000009,2023-08-01,2023-05-01,3,3,357,633525,626476.57,8.0,658,54.2,Beacon,Current,0,complete,2023-08-15,core,0.0,0.0,0.0,1.0,current,source_conflict,1
L000009,2023-09-01,2023-05-01,4,4,356,633525,624556.21,8.0,681,54.0,Beacon,Current,0,complete,2023-09-10,core,0.0,0.0,0.0,1.0,current,source_conflict,1
L000009,2023-11-01,2023-05-01,6,6,354,633525,621360.56,8.0,650,53.7,Beacon,Current,0,complete,2023-11-19,core,0.0,0.0,0.0,1.0,current,source_conflict,1
L000009,2023-12-01,2023-05-01,7,7,353,633525,620019.34,8.0,650,53.6,Beacon,Current,15,complete,2023-12-06,core,0.0,0.0,0.0,1.0,current,source_conflict,1
L000009,2024-01-01,2023-05-01,8,8,352,633525,618344.13,8.0,660,53.5,Beacon,Current,0,complete,2024-01-16,core,0.0,0.0,0.0,1.0,current,source_conflict,0
L000009,2024-02-01,2023-05-01,9,9,351,633525,616862.77,8.0,674,53.4,Beacon,Delinquent,0,complete,2024-02-03,core,0.0,0.0,0.0,1.0,current,source_conflict,1
L000009,2024-03-01,2023-05-01,10,10,350,633525,615628.77,8.0,652,53.3,Beacon,Current,0,pending,2024-03-15,core,0.0,0.0,0.0,1.0,current,source_conflict,1
L000009,2024-04-01,2023-05-01,11,11,349,633525,613342.13,8.0,664,53.1,Beacon,Current,0,complete,2024-04-17,core,0.0,0.0,0.0,1.0,current,source_conflict,1
L000009,2024-05-01,2023-05-01,12,12,348,633525,611627.45,8.0,667,52.9,Beacon,Current,0,complete,2024-05-15,core,0.0,0.0,0.0,1.0,prepaid,source_conflict,0
L000009,2024-09-01,2023-05-01,16,16,344,633525,606444.49,8.0,648,52.5,Beacon,Prepaid,0,complete,2024-09-13,core,0.0,0.0,0.0,,prepaid,source_conflict,1
L000009,2024-12-01,2023-05-01,19,19,341,633525,606444.49,8.0,673,52.5,Beacon,Prepaid,0,complete,2024-12-08,core,0.0,0.0,0.0,,prepaid,source_conflict,1
L000010,2023-10-01,2023-10-01,0,0,360,547545,545875.97,4.0,781,72.5,Beacon,Current,0,complete,2023-10-05,core,0.0,0.0,0.0,1.0,current,none,0
L000010,2023-12-01,2023-10-01,2,2,358,547545,542900.94,4.0,760,72.1,Beacon,Current,0,complete,2023-12-08,core,0.0,0.0,0.0,1.0,current,none,0
L000010,2024-01-01,2023-10-01,3,3,357,547545,541487.42,4.0,779,71.9,Beacon,Current,0,complete,2024-01-18,core,0.0,0.0,0.0,1.0,current,none,0
L000010,2024-02-01,2023-10-01,4,4,356,547545,539925.81,4.0,761,71.7,Beacon,Current,0,complete,2024-02-18,core,0.0,0.0,0.0,1.0,current,none,0
L000010,2024-03-01,2023-10-01,5,5,355,547545,538330.38,4.0,790,71.5,Beacon,Current,0,complete,2024-03-09,core,0.0,0.0,0.0,1.0,current,none,0
L000010,2024-06-01,2023-10-01,8,8,352,547545,533832.52,4.0,778,70.9,Beacon,Current,0,pending,2024-06-03,core,0.0,0.0,0.0,1.0,current,none,0
L000010,2024-07-01,2023-10-01,9,9,351,547545,532696.63,4.0,765,70.7,Beacon,Current,0,complete,2024-07-02,core,0.0,0.0,0.0,1.0,prepaid,none,0
L000010,2024-08-01,2023-10-01,10,10,350,547545,532696.63,4.0,776,70.7,Beacon,Prepaid,0,complete,2024-08-17,core,0.0,0.0,0.0,,prepaid,none,0
L000010,2024-09-01,2023-10-01,11,11,349,547545,532696.63,4.0,787,70.7,Beacon,Prepaid,0,complete,2024-09-16,core,0.0,0.0,0.0,,prepaid,none,0
L000010,2024-12-01,2023-10-01,14,14,346,547545,532696.63,4.0,766,70.7,Beacon,Prepaid,0,complete,2024-12-04,core,0.0,0.0,0.0,,prepaid,none,0
L000011,2023-04-01,2023-03-01,1,1,359,247935,246490.81,3.5,790,114.3,Atlas,Current,0,pending,2023-04-19,core,0.0,0.0,0.0,0.0,current,none,0
L000011,2023-05-01,2023-03-01,2,2,358,247935,245890.66,3.5,766,114.1,Atlas,Current,0,complete,2023-05-14,core,0.0,0.0,0.0,0.0,current,none,0
L000011,2023-07-01,2023-03-01,4,4,356,247935,244361.1,3.5,777,113.3,Atlas,Current,0,complete,2023-07-04,core,0.0,0.0,0.0,0.0,current,none,0
L000011,2023-09-01,2023-03-01,6,6,354,247935,243084.28,3.5,770,112.8,Atlas,Current,0,complete,2023-09-16,core,0.0,0.0,0.0,0.0,current,none,1
L000011,2023-10-01,2023-03-01,7,7,353,247935,242448.58,3.5,776,112.5,Atlas,Current,0,complete,2023-10-19,core,0.0,0.0,0.0,0.0,current,none,0
L000011,2023-12-01,2023-03-01,9,9,351,247935,241129.53,3.5,780,111.8,Atlas,Delinquent,0,missing,2023-12-03,core,0.0,0.0,0.0,0.0,current,missing_docs,1
L000011,2024-02-01,2023-03-01,11,11,349,247935,239738.85,3.5,773,111.2,Atlas,Delinquent,0,complete,2024-02-07,core,0.0,0.0,0.0,0.0,current,none,0
L000011,2024-03-01,2023-03-01,12,12,348,247935,226572.03,3.5,771,110.9,Atlas,Delinquent,0,complete,2024-03-03,core,0.0,0.0,0.0,0.0,current,none,0
L000011,2024-05-01,2023-03-01,14,14,346,247935,237649.75,3.5,774,110.2,Atlas,Current,0,complete,2024-05-12,core,0.0,0.0,0.0,0.0,current,none,0
L000011,2024-06-01,2023-03-01,15,15,345,247935,236926.08,3.5,793,109.9,Atlas,Current,0,complete,2024-06-14,core,0.0,0.0,0.0,0.0,current,none,0
L000011,2024-07-01,2023-03-01,16,16,344,247935,236153.65,3.5,773,109.5,Atlas,Current,0,complete,2024-07-02,core,0.0,0.0,0.0,0.0,current,none,0
L000011,2024-08-01,2023-03-01,17,17,343,247935,235404.46,3.5,780,109.2,Atlas,Delinquent,0,complete,2024-08-05,core,0.0,0.0,0.0,0.0,current,none,0
L000011,2024-09-01,2023-03-01,18,18,342,247935,234864.6,3.5,759,108.9,Atlas,Current,0,complete,2024-09-07,core,0.0,0.0,0.0,0.0,current,none,0
L000011,2024-10-01,2023-03-01,19,19,341,247935,234116.58,3.5,791,108.6,Atlas,Current,0,complete,2024-10-17,core,0.0,0.0,0.0,0.0,current,none,0
L000011,2024-12-01,2023-03-01,21,21,339,247935,232813.79,3.5,753,108.0,Atlas,Current,0,complete,2024-12-10,core,0.0,0.0,0.0,0.0,current,none,0
L000012,2024-01-01,2023-11-01,2,2,238,217226,214508.89,6.5,745,78.4,Cedar,Current,0,complete,2024-01-08,core,0.0,0.0,0.0,0.0,current,none,0
L000012,2024-04-01,2023-11-01,5,5,235,217226,212156.36,6.5,746,77.5,Cedar,Current,0,complete,2024-04-18,core,0.0,0.0,0.0,0.0,current,none,0
L000012,2024-06-01,2023-11-01,7,7,233,217226,210464.61,6.5,736,76.9,Cedar,Current,0,complete,2024-06-11,core,0.0,0.0,0.0,0.0,current,none,0
L000012,2024-07-01,2023-11-01,8,8,232,217226,209577.87,6.5,750,76.6,Cedar,Current,0,complete,2024-07-20,core,0.0,0.0,0.0,0.0,current,none,0
L000012,2024-08-01,2023-11-01,9,9,231,217226,208778.58,6.5,753,76.3,Cedar,Delinquent,0,pending,2024-08-14,core,0.0,0.0,0.0,0.0,current,none,0
L000012,2024-10-01,2023-11-01,11,11,229,217226,206897.9,6.5,758,75.6,Cedar,Current,0,complete,2024-10-19,core,0.0,0.0,0.0,0.0,current,none,0
L000013,2023-09-01,2023-09-01,0,0,360,96842,96607.02,3.5,797,42.7,Cedar,Current,0,complete,2023-09-08,core,0.0,0.0,0.0,0.0,current,none,0
L000013,2023-10-01,2023-09-01,1,1,359,96842,96421.49,3.5,791,42.6,Cedar,Current,0,complete,2023-10-18,core,0.0,0.0,0.0,0.0,current,none,0
L000013,2023-11-01,2023-09-01,2,2,358,96842,96151.93,3.5,793,42.5,Cedar,Current,0,complete,2023-11-02,core,0.0,0.0,0.0,0.0,current,none,0
L000013,2023-12-01,2023-09-01,3,3,357,96842,95893.21,3.5,800,42.4,Cedar,Current,0,complete,2023-12-03,core,0.0,0.0,0.0,0.0,current,none,0
L000013,2024-01-01,2023-09-01,4,4,356,96842,95603.1,3.5,806,42.3,Cedar,Delinquent,0,complete,2024-01-07,core,0.0,0.0,0.0,0.0,current,none,0
L000013,2024-02-01,2023-09-01,5,5,355,96842,95388.08,3.5,785,42.2,Cedar,Current,0,complete,2024-02-10,core,0.0,0.0,0.0,0.0,current,none,0
L000013,2024-03-01,2023-09-01,6,6,354,96842,95066.84,3.5,794,42.0,Cedar,Current,0,complete,2024-03-14,core,0.0,0.0,0.0,0.0,current,none,0
L000013,2024-04-01,2023-09-01,7,7,353,96842,94763.5,3.5,804,41.9,Cedar,Current,0,complete,2024-04-02,core,0.0,0.0,0.0,0.0,current,none,0
L000013,2024-05-01,2023-09-01,8,8,352,96842,94415.94,3.5,803,41.7,Cedar,Current,0,complete,2024-05-12,core,0.0,0.0,0.0,0.0,current,none,0
L000013,2024-06-01,2023-09-01,9,9,351,96842,94178.35,3.5,771,41.6,Cedar,Current,0,complete,2024-06-19,core,0.0,0.0,0.0,0.0,current,none,0
L000013,2024-07-01,2023-09-01,10,10,350,96842,93911.57,3.5,788,41.5,Cedar,Current,0,complete,2024-07-08,core,0.0,0.0,0.0,0.0,nan,none,1
L000014,2023-06-01,2023-06-01,0,0,240,316340,315076.67,6.25,758,73.1,Beacon,Current,0,complete,2023-06-05,core,0.0,0.0,0.0,0.0,current,none,0
L000014,2023-09-01,2023-06-01,3,3,237,316340,311199.73,6.25,735,72.2,Beacon,Current,15,complete,2023-09-20,core,0.0,0.0,0.0,0.0,current,none,0
L000014,2023-10-01,2023-06-01,4,4,236,316340,310069.25,6.25,748,71.9,Beacon,Current,0,complete,2023-10-11,core,0.0,0.0,0.0,0.0,current,none,0
L000014,2024-02-01,2023-06-01,8,8,232,316340,304763.94,6.25,743,70.7,Beacon,Current,0,complete,2024-02-07,core,0.0,0.0,0.0,0.0,current,none,0
L000014,2024-03-01,2023-06-01,9,9,231,316340,303394.04,6.25,769,70.4,Beacon,Delinquent,0,complete,2024-03-03,core,0.0,0.0,0.0,0.0,current,none,0
L000014,2024-06-01,2023-06-01,12,12,228,316340,299345.57,6.25,761,69.5,Beacon,Current,0,complete,2024-06-17,core,0.0,0.0,0.0,0.0,current,none,0
L000014,2024-07-01,2023-06-01,13,13,227,316340,298074.77,6.25,753,69.2,Beacon,Current,0,complete,2024-07-08,core,0.0,0.0,0.0,0.0,current,none,0
