loan_id,current_balance,current_status,last_updated_at,source_system
L000275,461421.42,Current,2025-06-14,servicer
L000962,91957.3,Current,2024-09-05,servicer
L000877,363331.98,Current,2025-05-10,servicer
L000699,291437.72,Delinquent,2025-06-03,servicer
L000586,337847.09,Current,2024-02-17,servicer
L001105,486564.65,Current,2025-04-07,servicer
L000575,517795.62,Delinquent,2024-07-09,servicer
L000329,553671.54,Delinquent,2025-06-23,servicer
L000100,290684.24,Delinquent,2025-07-02,servicer
L000666,430577.07,Default,2025-06-03,servicer
L000163,494555.98,Current,2025-06-03,servicer
L000486,493737.62,Delinquent,2025-06-05,servicer
L000478,304932.5,Current,2025-06-13,servicer
L000868,532555.04,Current,2025-06-03,servicer
L000160,560140.43,Delinquent,2025-05-02,servicer
L000870,89010.06,Current,2025-07-08,servicer
L000708,410771.91,Current,2025-06-06,servicer
L000288,241627.62,Current,2025-03-08,servicer
L000831,536681.01,Delinquent,2025-06-03,servicer
L000334,495951.44,Current,2025-06-03,servicer
L000191,368352.32,Current,2025-07-01,servicer
L000793,179054.38,Current,2025-05-10,servicer
L000576,3486.64,Current,2024-07-02,servicer
L000204,349202.08,Prepaid,2025-06-03,servicer
L000338,114874.66,Current,2025-07-02,servicer
L000284,76503.31,Prepaid,2025-05-08,servicer
L001117,139132.14,Delinquent,2025-07-10,servicer
L000813,322617.45,Delinquent,2025-06-16,servicer
L000506,573187.21,Current,2025-05-14,servicer
L000366,287523.38,Delinquent,2025-05-05,servicer
L000093,100995.07,Current,2025-03-02,servicer
L000968,374024.99,Current,2025-06-16,servicer
L000787,328547.52,Current,2025-06-05,servicer
L000549,117134.34,Current,2025-07-06,servicer
L000589,459526.22,Current,2025-06-04,servicer
L000767,612771.26,Current,2025-05-04,servicer
L000726,221377.98,Current,2025-05-18,servicer
L000843,264168.78,Current,2025-06-28,servicer
L000475,214071.88,Delinquent,2025-05-04,servicer
L000009,603832.61,Current,2025-05-02,servicer
L000814,606706.4,Delinquent,2025-05-10,servicer
L000168,572664.4,Current,2025-06-08,servicer
L000926,169433.53,Current,2025-04-28,servicer
L000289,454270.33,Current,2025-06-02,servicer
L000380,184170.77,Current,2025-06-16,servicer
L000975,143795.84,Current,2025-07-01,servicer
L000703,224765.85,Current,2025-06-08,servicer
L000836,533287.6,Delinquent,2025-06-11,servicer
L000065,198404.11,Delinquent,2025-06-12,servicer
L000315,366892.19,Current,2025-04-29,servicer
L000465,132336.71,Current,2025-07-10,servicer
L000510,420714.02,Delinquent,2025-06-15,servicer
L000279,201667.69,Current,2024-12-08,servicer
L001009,155968.2,Delinquent,2025-06-22,servicer
L000692,538777.97,Current,2025-07-05,servicer
L000292,100884.35,Delinquent,2025-06-08,servicer
L000290,288624.71,Current,2025-05-02,servicer
L000720,404274.08,Current,2025-06-19,servicer
L000360,354373.06,Current,2025-05-18,servicer
L000572,207823.92,Current,2025-07-08,servicer
L000980,242931.06,Delinquent,2025-07-03,servicer
L000656,589240.06,Delinquent,2025-05-13,servicer
L000888,300495.54,Delinquent,2025-04-15,servicer
L001079,179826.31,Delinquent,2025-07-01,servicer
L000370,589322.99,Delinquent,2024-06-08,servicer
L000938,251184.39,Default,2025-07-08,servicer
L000444,149608.6,Delinquent,2025-06-09,servicer
L000028,131140.17,Current,2025-06-08,servicer
L000394,139530.15,Default,2025-05-12,servicer
L000461,114670.57,Current,2025-05-15,servicer
L001119,572751.68,Current,2025-05-29,servicer
L000300,474808.2,Delinquent,2025-03-12,servicer
L000040,158110.82,Prepaid,2025-06-25,servicer
