loan_id,reporting_month,days_past_due,current_balance,credit_score_band,state,servicer_name,data_quality_score,next_3m_delinquency_flag,predicted_probability,error_type,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag
L000887,2023-10-01,0,434323.96,680-739,TX,Beacon,90.0,1.0,0.0425,false_negative,,,
L000935,2023-10-01,0,188131.31,740+,GA,Atlas,82.0,1.0,0.0304,false_negative,,,
L000937,2023-10-01,0,612085.69,<620,NY,Atlas,90.0,1.0,0.0455,false_negative,,,
L000460,2023-10-01,0,209353.69,680-739,GA,Cedar,90.0,1.0,0.0321,false_negative,,,
L000515,2023-10-01,0,477908.21,740+,NY,Cedar,82.0,1.0,0.1932,false_negative,,,
L000709,2023-10-01,0,168399.39,<620,TX,Atlas,82.0,1.0,0.084,false_negative,,,
L000728,2023-10-01,0,112880.42,620-679,IL,Beacon,82.0,1.0,0.0355,false_negative,,,
L000504,2023-10-01,0,401422.18,620-679,FL,Atlas,90.0,1.0,0.2297,false_negative,,,
L000503,2023-10-01,0,138869.9,<620,FL,Cedar,90.0,1.0,0.1046,false_negative,,,
L000035,2023-10-01,0,377915.62,620-679,IL,Beacon,82.0,1.0,0.0204,false_negative,,,
L000952,2023-10-01,0,604206.41,<620,GA,Beacon,72.0,1.0,0.0276,false_negative,,,
L000032,2023-10-01,30,172495.57,680-739,IL,Cedar,90.0,1.0,0.1046,false_negative,,,
L001101,2023-10-01,0,317826.45,740+,IL,Beacon,82.0,1.0,0.2888,false_negative,,,
L000817,2023-10-01,0,275360.95,<620,WA,Beacon,82.0,0.0,0.5172,false_positive,,,
L000656,2023-10-01,0,634698.57,620-679,GA,Cedar,72.0,1.0,0.1816,false_negative,,,
L000404,2023-10-01,0,270159.26,<620,CA,Beacon,82.0,0.0,0.5125,false_positive,,,
L000667,2023-10-01,0,617110.44,740+,CA,Atlas,90.0,1.0,0.0836,false_negative,,,
L000974,2023-10-01,0,359748.53,620-679,GA,Atlas,90.0,1.0,0.0805,false_negative,,,
L000622,2023-10-01,0,111122.54,740+,IL,Cedar,90.0,1.0,0.2626,false_negative,,,
L000269,2023-10-01,30,196933.87,620-679,GA,Atlas,90.0,1.0,0.1767,false_negative,,,
L000593,2023-10-01,0,153876.38,<620,CA,Beacon,90.0,1.0,0.0275,false_negative,,,
L000619,2023-10-01,0,418529.16,<620,CA,Beacon,82.0,1.0,0.1166,false_negative,,,
L000394,2023-10-01,0,141074.63,680-739,WA,Cedar,72.0,1.0,0.0672,false_negative,,,
L000980,2023-10-01,0,246006.69,<620,IL,Beacon,72.0,1.0,0.3752,false_negative,,,
L000092,2023-10-01,0,143250.07,680-739,CA,Beacon,74.0,1.0,0.0225,false_negative,,,
L000252,2023-10-01,0,211174.73,680-739,CA,Atlas,90.0,1.0,0.1488,false_negative,,,
L000813,2023-10-01,0,341490.71,620-679,GA,Atlas,80.0,1.0,0.0277,false_negative,,,
L000768,2023-10-01,0,289461.8,620-679,IL,Atlas,82.0,1.0,0.1463,false_negative,,,
L000082,2023-10-01,30,247432.44,620-679,CA,Beacon,70.0,1.0,0.0332,false_negative,,,
L000227,2023-10-01,0,216589.85,<620,IL,Atlas,82.0,1.0,0.0947,false_negative,,,
L001032,2023-10-01,0,107320.64,740+,IL,Atlas,90.0,1.0,0.0332,false_negative,,,
L000235,2023-10-01,0,213711.99,680-739,FL,Cedar,90.0,1.0,0.4856,false_negative,,,
L000652,2023-10-01,0,509883.83,620-679,CA,Cedar,90.0,1.0,0.1115,false_negative,,,
L000404,2023-11-01,0,268853.17,<620,CA,Beacon,82.0,0.0,0.7053,false_positive,,,
L000503,2023-11-01,0,138469.99,<620,FL,Cedar,90.0,1.0,0.0697,false_negative,,,
L000504,2023-11-01,0,400197.99,620-679,FL,Atlas,90.0,1.0,0.2842,false_negative,,,
L000394,2023-11-01,30,140449.05,680-739,WA,Cedar,72.0,1.0,0.0842,false_negative,,,
L000035,2023-11-01,0,375919.41,620-679,IL,Beacon,82.0,1.0,0.0266,false_negative,,,
L001024,2023-11-01,0,319949.02,<620,IL,Cedar,82.0,1.0,0.0495,false_negative,,,
L000179,2023-11-01,0,512887.19,740+,IL,Cedar,90.0,1.0,0.0984,false_negative,,,
L000335,2023-11-01,0,606874.12,<620,CA,Beacon,90.0,1.0,0.0801,false_negative,,,
L000619,2023-11-01,0,415706.65,<620,CA,Beacon,82.0,1.0,0.1383,false_negative,,,
L000728,2023-11-01,0,112204.54,620-679,IL,Beacon,72.0,1.0,0.0298,false_negative,,,
L001137,2023-11-01,0,251032.18,740+,FL,Atlas,82.0,1.0,0.1021,false_negative,,,
L000227,2023-11-01,30,215807.27,<620,IL,Atlas,82.0,1.0,0.1292,false_negative,,,
L000460,2023-11-01,0,208655.15,680-739,GA,Cedar,90.0,1.0,0.0354,false_negative,,,
L000652,2023-11-01,0,508050.68,620-679,CA,Cedar,90.0,1.0,0.1195,false_negative,,,
L000768,2023-11-01,30,288628.66,620-679,IL,Atlas,72.0,1.0,0.0873,false_negative,,,
L000942,2023-11-01,0,176787.95,680-739,IL,Beacon,82.0,1.0,0.0349,false_negative,,,
L000449,2023-11-01,30,314334.35,680-739,CA,Atlas,90.0,1.0,0.0662,false_negative,,,
L000739,2023-11-01,0,555973.55,620-679,IL,Beacon,90.0,1.0,0.0483,false_negative,,,
L000466,2023-11-01,0,238979.13,680-739,IL,Cedar,90.0,1.0,0.0964,false_negative,,,
L000935,2023-11-01,0,186989.42,740+,GA,Atlas,82.0,1.0,0.0341,false_negative,,,
L000348,2023-11-01,0,162616.43,<620,GA,Beacon,82.0,1.0,0.0284,false_negative,,,
L000656,2023-11-01,0,632215.92,620-679,GA,Cedar,72.0,1.0,0.1304,false_negative,,,
L000211,2023-11-01,0,617265.8,<620,IL,Beacon,82.0,1.0,0.1253,false_negative,,,
L001072,2023-11-01,30,248880.78,620-679,TX,Beacon,82.0,1.0,0.1323,false_negative,,,
L000427,2023-11-01,0,318878.66,620-679,NY,Atlas,90.0,1.0,0.0326,false_negative,,,
L000380,2023-11-01,0,193765.39,680-739,WA,Beacon,80.0,1.0,0.0476,false_negative,,,
L000533,2023-11-01,0,315176.29,680-739,GA,Cedar,90.0,1.0,0.0613,false_negative,,,
L000544,2023-11-01,0,387026.28,680-739,IL,Beacon,90.0,1.0,0.0719,false_negative,,,
L000303,2023-11-01,0,529591.92,620-679,IL,Beacon,90.0,1.0,0.0714,false_negative,,,
L000053,2023-11-01,0,383979.14,620-679,FL,Atlas,82.0,1.0,0.0838,false_negative,,,
L000891,2023-11-01,0,301296.54,620-679,WA,Cedar,82.0,1.0,0.1282,false_negative,,,
L000980,2023-11-01,30,244967.53,<620,IL,Beacon,72.0,1.0,0.3947,false_negative,,,
L000680,2023-11-01,0,431029.02,620-679,TX,Beacon,90.0,1.0,0.1209,false_negative,,,
L000207,2023-11-01,0,572559.97,620-679,NY,Beacon,82.0,1.0,0.0463,false_negative,,,
L001048,2023-11-01,0,418925.45,620-679,IL,Atlas,90.0,1.0,0.0891,false_negative,,,
L000807,2023-11-01,0,326798.74,<620,IL,Cedar,90.0,1.0,0.1065,false_negative,,,
L000564,2023-11-01,0,467971.46,680-739,TX,Atlas,82.0,1.0,0.0646,false_negative,,,
L000186,2023-11-01,0,285316.96,620-679,FL,Cedar,90.0,1.0,0.1064,false_negative,,,
L000512,2023-11-01,0,614884.21,<620,IL,Beacon,82.0,1.0,0.0672,false_negative,,,
L000257,2023-11-01,0,154891.14,680-739,GA,Cedar,90.0,1.0,0.0324,false_negative,,,
L000187,2023-11-01,0,505705.99,740+,WA,Atlas,82.0,0.0,0.5249,false_positive,,,
L000038,2023-11-01,0,424716.75,<620,CA,Beacon,90.0,1.0,0.0419,false_negative,,,
L000077,2023-11-01,30,621835.7,740+,GA,Atlas,90.0,1.0,0.0847,false_negative,,,
L000593,2023-11-01,30,153364.49,<620,CA,Beacon,90.0,1.0,0.0441,false_negative,,,
L000668,2023-11-01,0,278326.66,680-739,WA,Beacon,82.0,1.0,0.0211,false_negative,,,
L000047,2023-11-01,0,198443.75,<620,NY,Beacon,90.0,1.0,0.103,false_negative,,,
L001041,2023-11-01,0,593995.09,740+,IL,Cedar,82.0,1.0,0.3716,false_negative,,,
L001019,2023-12-01,0,436260.6,740+,CA,Cedar,82.0,1.0,0.1297,false_negative,,,
L000957,2023-12-01,0,221388.98,620-679,IL,Cedar,82.0,1.0,0.2054,false_negative,,,
L000768,2023-12-01,60,287343.13,620-679,IL,Atlas,72.0,1.0,0.0909,false_negative,,,
L000767,2023-12-01,0,625935.42,<620,NY,Cedar,90.0,1.0,0.0724,false_negative,,,
L001032,2023-07-01,0,108279.98,740+,IL,Atlas,90.0,,0.3441,false_negative,1.0,,
L000626,2023-07-01,0,143480.71,680-739,TX,Atlas,90.0,,0.5294,false_positive,0.0,,
L000619,2023-07-01,0,424987.46,<620,CA,Beacon,82.0,,0.4066,false_negative,1.0,,
L000460,2023-07-01,0,211514.8,680-739,GA,Cedar,90.0,,0.0996,false_negative,1.0,,
L000235,2023-07-01,30,215614.84,680-739,FL,Cedar,90.0,,0.4543,false_negative,1.0,,
L001076,2023-07-01,0,592559.75,<620,NY,Beacon,82.0,,0.2426,false_negative,1.0,,
L000396,2023-07-01,0,276352.57,740+,GA,Beacon,82.0,,0.0552,false_negative,1.0,,
L000404,2023-07-01,60,273310.27,<620,CA,Beacon,82.0,,0.799,false_positive,0.0,,
L000422,2023-07-01,0,558888.88,620-679,TX,Cedar,82.0,,0.0864,false_negative,1.0,,
L000427,2023-07-01,0,322528.89,620-679,NY,Atlas,90.0,,0.0493,false_negative,1.0,,
L000375,2023-07-01,0,308739.55,<620,GA,Atlas,90.0,,0.569,false_positive,0.0,,
L001022,2023-07-01,30,558837.05,620-679,IL,Atlas,82.0,,0.5299,false_positive,0.0,,
L000700,2023-07-01,0,492514.36,740+,TX,Beacon,90.0,,0.018,false_negative,1.0,,
L000593,2023-07-01,0,155091.3,<620,CA,Beacon,90.0,,0.0088,false_negative,1.0,,
L000315,2023-07-01,0,388027.44,680-739,IL,Atlas,90.0,,0.3236,false_negative,1.0,,
L001052,2023-07-01,0,395502.12,680-739,FL,Cedar,90.0,,0.0382,false_negative,1.0,,
L001048,2023-07-01,0,424426.58,620-679,IL,Atlas,90.0,,0.4076,false_negative,1.0,,
L000207,2023-07-01,0,585803.44,620-679,NY,Beacon,82.0,,0.0296,false_negative,1.0,,
L000515,2023-07-01,0,484108.26,740+,NY,Cedar,82.0,,0.2134,false_negative,1.0,,
L001099,2023-07-01,0,550716.36,740+,CA,Atlas,90.0,,0.4753,false_negative,1.0,,
L000666,2023-07-01,0,426940.38,680-739,CA,Cedar,80.0,,0.4359,false_negative,1.0,,
L000512,2023-07-01,0,626216.48,<620,IL,Beacon,82.0,,0.0418,false_negative,1.0,,
L000179,2023-07-01,0,519045.39,740+,IL,Cedar,90.0,,0.4599,false_negative,1.0,,
L000503,2023-07-01,0,140118.45,<620,FL,Cedar,90.0,,0.4942,false_negative,1.0,,
L000339,2023-07-01,0,222081.36,680-739,TX,Beacon,58.0,,0.529,false_positive,0.0,,
L000042,2023-07-01,30,567255.03,<620,CA,Atlas,90.0,,0.3899,false_negative,1.0,,
L000813,2023-07-01,0,344278.36,620-679,GA,Atlas,80.0,,0.3467,false_negative,1.0,,
L001137,2023-07-01,0,255324.15,740+,FL,Atlas,82.0,,0.0873,false_negative,1.0,,
L000035,2023-07-01,0,382868.19,620-679,IL,Beacon,82.0,,0.016,false_negative,1.0,,
L000768,2023-07-01,0,330638.1,620-679,IL,Atlas,58.0,,0.3973,false_negative,1.0,,
L000054,2023-07-01,0,358246.33,680-739,TX,Cedar,82.0,,0.6167,false_positive,0.0,,
L000937,2023-07-01,0,617266.58,<620,NY,Atlas,90.0,,0.3283,false_negative,1.0,,
L000038,2023-07-01,0,429183.87,<620,CA,Beacon,90.0,,0.261,false_negative,1.0,,
L000887,2023-07-01,0,438499.94,680-739,TX,Beacon,90.0,,0.4399,false_negative,1.0,,
L000143,2023-07-01,0,177147.9,620-679,TX,Cedar,90.0,,0.291,false_negative,1.0,,
L000007,2023-07-01,0,140175.52,620-679,GA,Beacon,90.0,,0.5922,false_positive,0.0,,
L000935,2023-07-01,0,191719.44,740+,GA,Atlas,82.0,,0.049,false_negative,1.0,,
L000551,2023-08-01,0,340425.16,680-739,WA,Beacon,82.0,,0.4153,false_negative,1.0,,
L000892,2023-08-01,0,400410.32,<620,IL,Beacon,82.0,,0.5824,false_positive,0.0,,
L001048,2023-08-01,0,423220.38,620-679,IL,Atlas,90.0,,0.293,false_negative,1.0,,
L000114,2023-08-01,30,381456.8,740+,CA,Cedar,90.0,,0.0941,false_negative,1.0,,
L000512,2023-08-01,0,623435.67,<620,IL,Beacon,82.0,,0.1369,false_negative,1.0,,
L000042,2023-08-01,0,565349.47,<620,CA,Atlas,90.0,,0.3413,false_negative,1.0,,
L000303,2023-08-01,0,533424.9,620-679,IL,Beacon,90.0,,0.1135,false_negative,1.0,,
L000053,2023-08-01,0,390616.63,620-679,FL,Atlas,82.0,,0.1391,false_negative,1.0,,
L000117,2023-08-01,0,636735.84,<620,IL,Cedar,82.0,,0.6029,false_positive,0.0,,
L000533,2023-08-01,0,317862.98,680-739,GA,Cedar,90.0,,0.225,false_negative,1.0,,
L000700,2023-08-01,0,491111.28,740+,TX,Beacon,90.0,,0.0133,false_negative,1.0,,
L000207,2023-08-01,0,583377.4,620-679,NY,Beacon,82.0,,0.0222,false_negative,1.0,,
L000619,2023-08-01,0,422191.57,<620,CA,Beacon,82.0,,0.4162,false_negative,1.0,,
L001038,2023-08-01,0,546504.04,680-739,IL,Cedar,82.0,,0.5397,false_positive,0.0,,
L000082,2023-08-01,0,250259.03,620-679,CA,Beacon,82.0,,0.0591,false_negative,1.0,,
L000626,2023-08-01,0,143211.04,680-739,TX,Atlas,90.0,,0.5377,false_positive,0.0,,
L000227,2023-08-01,0,218468.77,<620,IL,Atlas,82.0,,0.1211,false_negative,1.0,,
L000092,2023-08-01,0,164312.56,680-739,CA,Beacon,58.0,,0.4273,false_negative,1.0,,
L000647,2023-08-01,0,443460.71,740+,TX,Atlas,90.0,,0.3684,false_negative,1.0,,
L000843,2023-08-01,30,265463.46,680-739,CA,Beacon,72.0,,0.3382,false_negative,1.0,,
L000578,2023-08-01,0,221337.55,740+,WA,Beacon,82.0,,0.1079,false_negative,1.0,,
L000878,2023-08-01,0,,620-679,WA,Cedar,86.6,,0.1282,false_negative,1.0,,
L000288,2023-08-01,0,251092.23,620-679,TX,Atlas,90.0,,0.0243,false_negative,1.0,,
L000593,2023-08-01,0,154712.18,<620,CA,Beacon,90.0,,0.0261,false_negative,1.0,,
L000587,2023-08-01,0,240353.0,680-739,WA,Atlas,90.0,,0.3368,false_negative,1.0,,
L000211,2023-08-01,0,625429.79,<620,IL,Beacon,82.0,,0.3315,false_negative,1.0,,
L000463,2023-08-01,0,280919.19,620-679,GA,Beacon,82.0,,0.5503,false_positive,0.0,,
L000362,2023-08-01,0,350717.82,620-679,FL,Beacon,90.0,,0.434,false_negative,1.0,,
L000137,2023-08-01,0,139187.85,740+,GA,Atlas,82.0,,0.2652,false_negative,1.0,,
L000732,2023-08-01,0,183236.28,680-739,FL,Cedar,90.0,,0.1374,false_negative,1.0,,
L000470,2023-08-01,0,199105.34,680-739,GA,Atlas,82.0,,0.0272,false_negative,1.0,,
L000935,2023-08-01,0,190462.62,740+,GA,Atlas,82.0,,0.0407,false_negative,1.0,,
L001076,2023-08-01,0,589763.88,<620,NY,Beacon,82.0,,0.4737,false_negative,1.0,,
L000006,2023-08-01,30,592373.71,<620,NY,Atlas,90.0,,0.4824,false_negative,1.0,,
L001072,2023-08-01,0,253506.76,620-679,TX,Beacon,82.0,,0.3841,false_negative,1.0,,
L000394,2023-08-01,0,148358.63,680-739,WA,Cedar,64.0,,0.3432,false_negative,1.0,,
