target,row,loan_id,feature,value,top_3,method,direction
exception_required,1,L000623,remaining_term_months,15.378,"remaining_term_months, dti_numeric, balance_ratio",deviation_rank,unknown
exception_required,2,L000678,term_ratio,1.799,"term_ratio, remaining_term_months, credit_score_numeric",deviation_rank,unknown
exception_required,3,L000342,dti_numeric,1.806,"dti_numeric, ltv_numeric, credit_score_numeric",deviation_rank,unknown
exception_required,4,L001031,interest_rate,1.18,"interest_rate, credit_score_numeric, dti_numeric",deviation_rank,unknown
exception_required,5,L001111,balance_ratio,1.468,"balance_ratio, dti_numeric, current_balance",deviation_rank,unknown
exception_required,6,L000714,remaining_term_months,14.974,"remaining_term_months, balance_ratio, interest_rate",deviation_rank,unknown
exception_required,7,L000360,dti_numeric,0.743,"dti_numeric, paydown_rate, balance_ratio",deviation_rank,unknown
exception_required,8,L001112,ltv_numeric,3.04,"ltv_numeric, dti_numeric, credit_score_numeric",deviation_rank,unknown
exception_required,9,L000727,ltv_numeric,2.517,"ltv_numeric, interest_rate, current_balance",deviation_rank,unknown
exception_required,10,L000904,remaining_term_months,15.378,"remaining_term_months, dti_numeric, paydown_rate",deviation_rank,unknown
exception_required,11,L000410,balance_ratio,1.369,"balance_ratio, ltv_numeric, term_ratio",deviation_rank,unknown
exception_required,12,L000464,remaining_term_months,24.012,"remaining_term_months, balance_ratio, term_ratio",deviation_rank,unknown
exception_required,13,L000215,remaining_term_months,22.933,"remaining_term_months, dti_numeric, interest_rate",deviation_rank,unknown
exception_required,14,L000300,credit_score_numeric,1.105,"credit_score_numeric, term_ratio, balance_ratio",deviation_rank,unknown
exception_required,15,L000286,ltv_numeric,4.631,"ltv_numeric, interest_rate, credit_score_numeric",deviation_rank,unknown
exception_required,16,L000310,interest_rate,1.518,"interest_rate, current_balance, credit_score_numeric",deviation_rank,unknown
exception_required,17,L000238,dti_numeric,1.772,"dti_numeric, interest_rate, credit_score_numeric",deviation_rank,unknown
exception_required,18,L000323,ltv_numeric,3.614,"ltv_numeric, dti_numeric, interest_rate",deviation_rank,unknown
exception_required,19,L000305,ltv_numeric,2.557,"ltv_numeric, term_ratio, balance_ratio",deviation_rank,unknown
exception_required,20,L000452,balance_ratio,1.65,"balance_ratio, dti_numeric, paydown_rate",deviation_rank,unknown
exception_required,21,L000284,remaining_term_months,16.188,"remaining_term_months, ltv_numeric, term_ratio",deviation_rank,unknown
exception_required,22,L000730,ltv_numeric,3.03,"ltv_numeric, dti_numeric, balance_ratio",deviation_rank,unknown
exception_required,23,L000677,remaining_term_months,16.188,"remaining_term_months, balance_ratio, interest_rate",deviation_rank,unknown
exception_required,24,L001127,remaining_term_months,16.458,"remaining_term_months, term_ratio, balance_ratio",deviation_rank,unknown
