loan_id,reporting_month,origination_month,month_index,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score,ltv,servicer_name,current_status,days_past_due,document_status,last_updated_at,source_system,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_type,exception_required,credit_score_band,ltv_band,dti,dti_band,state,loan_purpose,occupancy_type,property_type,term_months,vintage,credit_score_numeric,ltv_numeric,dti_numeric,balance_ratio,term_ratio,dpd_velocity,ever_dpd,paydown_rate,vintage_year,next_3m_delinquency_prob,next_6m_delinquency_prob,next_12m_default_prob,next_12m_prepayment_prob,next_state_confidence,exception_type_confidence,anomaly_score,anomaly_reason,anomaly_drivers,data_quality_score,model_confidence,data_confidence,confidence,n_breaches,recommended_action,top_drivers
L000563,2025-03-01,2023-03-01,24,24,336,355157,-25.0,4.75,620,60.1,Atlas,Default,120,complete,2025-03-10,core,,,,,default,data_break,0.3507919955618864,620-679,61-80,33.1,21-35,NY,refinance,owner,sfr,360,2023,620,60.1,33.1,0.0,0.9333333333333333,0.0,1,1.0,2023,0.23005573363369888,0.20425453453278095,0.3136498476664196,0.11014306797631356,0.511,0.402,0.8329,negative_balance; outlier_balance_ratio; outlier_paydown_rate,"{'rule_breaches': ['negative_balance', 'outlier_balance_ratio', 'outlier_paydown_rate'], 'deviating_features': ['days_past_due', 'current_balance']}",55.7,0.571,0.557,0.567,4,escalate_human_review,negative_balance; outlier_balance_ratio; outlier_paydown_rate
L000474,2025-02-01,2023-11-01,15,15,345,563412,-25.0,5.25,754,90.2,Beacon,Current,0,complete,2025-02-18,core,,,,,current,data_break,0.4053254758703629,740+,81-100,25.2,21-35,CA,refinance,owner,condo,360,2023,754,90.2,25.2,0.0,0.9583333333333334,0.0,0,1.0,2023,0.026592767186276452,0.027814624198538963,0.0032340307705996615,0.2575926788408398,0.5913,0.5079,0.8329,negative_balance; outlier_balance_ratio; outlier_paydown_rate,"{'rule_breaches': ['negative_balance', 'outlier_balance_ratio', 'outlier_paydown_rate'], 'deviating_features': ['current_balance', 'loan_age_months']}",55.7,0.842,0.557,0.756,4,escalate_human_review,negative_balance; outlier_balance_ratio; outlier_paydown_rate
L000329,2025-06-01,2023-01-01,29,29,151,557822,551403.17,4.5,662,80.5,Atlas,Prepaid,0,complete,2025-06-03,core,,,,,prepaid,source_conflict,0.6979793552981408,620-679,81-100,44.9,44-50,GA,purchase,owner,sfr,180,2023,662,80.5,44.9,0.9884930497542227,0.8388888888888889,0.0,0,0.0,2023,0.03223978566167156,0.02192612171393175,0.03342494771374423,0.3858081912478955,0.8187,0.6631,0.8299,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['remaining_term_months', 'loan_age_months']}",56.7,0.763,0.567,0.704,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict
L000163,2025-01-01,2023-10-01,15,15,165,513780,493921.28,5.25,749,63.9,Beacon,Prepaid,0,complete,2025-01-20,core,,,,,prepaid,none,0.20578013481595794,740+,61-80,31.7,21-35,NY,refinance,owner,sfr,180,2023,749,63.9,31.7,0.9613478142395578,0.9166666666666666,0.0,0,0.0,2023,0.017150111005806892,0.006352580232126811,0.0018798401374742729,0.47977552695368564,0.7579,0.4545,0.8299,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['remaining_term_months', 'loan_age_months']}",56.7,0.747,0.567,0.693,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict
L000682,2025-06-01,2023-02-01,28,28,152,135180,125823.01,5.5,680,84.9,Atlas,Prepaid,0,complete,2025-06-12,core,,,,,prepaid,source_conflict,0.7870732571557267,680-739,81-100,29.6,21-35,GA,purchase,owner,sfr,180,2023,680,84.9,29.6,0.930781254623465,0.8444444444444444,0.0,1,0.019245081532753446,2023,0.03070077644842878,0.04832360680748359,0.032195762464051404,0.5882449674452522,0.4976,0.3853,0.8299,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['remaining_term_months', 'loan_age_months']}",56.7,0.739,0.567,0.687,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict
L001096,2025-01-01,2023-12-01,13,13,227,624321,600521.67,4.0,818,64.7,Beacon,Prepaid,0,complete,2025-01-14,core,,,,,prepaid,none,0.18010750607700443,740+,61-80,42.0,36-43,GA,purchase,owner,sfr,240,2023,818,64.7,42.0,0.961879658060517,0.9458333333333333,0.0,0,0.0,2023,0.03258438927730244,0.017293200804364754,0.09470273945407466,0.5789921308025064,0.6916,0.5945,0.8299,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['loan_age_months', 'interest_rate']}",56.7,0.717,0.567,0.672,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict
L001096,2025-02-01,2023-12-01,14,14,226,624321,600521.67,4.0,812,64.7,Beacon,Prepaid,0,complete,2025-02-14,core,,,,,prepaid,none,0.18010750607700443,740+,61-80,42.0,36-43,GA,purchase,owner,sfr,240,2023,812,64.7,42.0,0.961879658060517,0.9416666666666667,0.0,0,0.0,2023,0.03258438927730244,0.017293200804364754,0.09470273945407466,0.5789921308025064,0.6916,0.5993,0.8299,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['loan_age_months', 'interest_rate']}",56.7,0.717,0.567,0.672,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict
L000968,2025-06-01,2023-04-01,26,26,154,422856,373171.07,5.0,779,57.0,Cedar,Prepaid,0,pending,2025-06-06,core,,,,,prepaid,none,0.240660935160213,740+,61-80,31.3,21-35,FL,purchase,owner,sfr,180,2023,779,57.0,31.3,0.8825015371663166,0.8555555555555555,0.0,0,0.0,2023,0.02145940956595893,0.007799998193820177,0.003176563869184843,0.6633371064405297,0.6956,0.3027,0.8299,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['remaining_term_months', 'loan_age_months']}",56.7,0.815,0.567,0.741,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict
L001096,2025-04-01,2023-12-01,16,16,224,624321,600521.67,4.0,826,64.7,Beacon,Prepaid,0,complete,2025-04-19,core,,,,,prepaid,none,0.18010750607700443,740+,61-80,42.0,36-43,GA,purchase,owner,sfr,240,2023,826,64.7,42.0,0.961879658060517,0.9333333333333333,0.0,0,0.0,2023,0.03258438927730244,0.017293200804364754,0.09470273945407466,0.5789921308025064,0.6916,0.5945,0.8299,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['interest_rate', 'current_balance']}",56.7,0.717,0.567,0.672,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict
L000831,2025-06-01,2023-06-01,24,24,156,532982,532982.0,5.5,582,59.4,Beacon,Prepaid,0,complete,2025-06-09,core,,,,,prepaid,none,0.5551792913086735,<620,<=60,26.0,21-35,WA,cash_out,owner,condo,180,2023,582,59.4,26.0,1.0,0.8666666666666667,0.0,0,0.0,2023,0.056702513862446936,0.09125434742912208,0.04951236879201546,0.02705949408478837,0.665,0.4337,0.8299,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['remaining_term_months', 'current_balance']}",56.7,0.888,0.567,0.792,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict
L000059,2025-05-01,2023-04-01,25,25,215,110735,101281.29,5.75,644,70.2,Atlas,Prepaid,0,complete,2025-05-07,core,,,,,prepaid,source_conflict,0.6244204094437675,620-679,61-80,55.0,44-50,GA,purchase,owner,sfr,240,2023,644,70.2,55.0,0.9146276245089627,0.8958333333333334,0.0,1,0.0,2023,0.05389117929525756,0.08442570499076492,0.15555455317714764,0.26799348672474266,0.5523,0.5334,0.8299,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['remaining_term_months', 'current_balance']}",56.7,0.719,0.567,0.673,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict
L000329,2025-02-01,2023-01-01,25,25,155,557822,551403.17,4.5,674,80.5,Atlas,Prepaid,0,complete,2025-02-02,core,,,,,prepaid,source_conflict,0.7625282031406426,620-679,81-100,44.9,44-50,GA,purchase,owner,sfr,180,2023,674,80.5,44.9,0.9884930497542227,0.8611111111111112,0.0,0,0.0,2023,0.03196882963472734,0.020004756662041063,0.029336292014250906,0.40936881983977597,0.8239,0.6504,0.8299,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['remaining_term_months', 'current_balance']}",56.7,0.755,0.567,0.699,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict
L000419,2025-02-01,2023-07-01,19,19,221,82418,81666.22,3.5,769,80.1,Atlas,Prepaid,0,complete,2025-02-13,core,,,,,prepaid,none,0.3058300424502564,740+,81-100,29.8,21-35,IL,refinance,owner,sfr,240,2023,769,80.1,29.8,0.9908784488825256,0.9208333333333333,0.0,0,0.0,2023,0.07709607299779456,0.11794526383057043,0.01175896286568944,0.16866161959151071,0.7472,0.406,0.8299,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['interest_rate', 'current_balance']}",56.7,0.812,0.567,0.738,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict
L000329,2025-03-01,2023-01-01,26,26,154,557822,551403.17,4.5,694,80.5,Atlas,Prepaid,0,complete,2025-03-19,core,,,,,prepaid,source_conflict,0.6213336770708111,620-679,81-100,44.9,44-50,GA,purchase,owner,sfr,180,2023,694,80.5,44.9,0.9884930497542227,0.8555555555555555,0.0,0,0.0,2023,0.03456215992662142,0.023774146509161157,0.026725706788708517,0.43169018506420676,0.8204,0.6356,0.8299,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['remaining_term_months', 'current_balance']}",56.7,0.742,0.567,0.69,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict
L000329,2025-05-01,2023-01-01,28,28,152,557822,551403.17,4.5,674,80.5,Atlas,Prepaid,0,complete,2025-05-12,core,,,,,prepaid,source_conflict,0.7625282031406426,620-679,81-100,44.9,44-50,GA,purchase,owner,sfr,180,2023,674,80.5,44.9,0.9884930497542227,0.8444444444444444,0.0,0,0.0,2023,0.03196882963472734,0.020004756662041063,0.029336292014250906,0.40936881983977597,0.8239,0.6504,0.8299,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['remaining_term_months', 'loan_age_months']}",56.7,0.755,0.567,0.699,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict
L000419,2025-06-01,2023-07-01,23,23,217,82418,81666.22,3.5,782,80.1,Atlas,Prepaid,0,complete,2025-06-02,core,,,,,prepaid,none,0.3098869391926626,740+,81-100,29.8,21-35,IL,refinance,owner,sfr,240,2023,782,80.1,29.8,0.9908784488825256,0.9041666666666667,0.0,0,0.0,2023,0.06001127588087988,0.12421497835959805,0.010386739404751951,0.1656403920565164,0.7501,0.4004,0.8299,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['interest_rate', 'remaining_term_months']}",56.7,0.82,0.567,0.744,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict
L000419,2025-04-01,2023-07-01,21,21,219,82418,81666.22,3.5,791,80.1,Atlas,Prepaid,0,complete,2025-04-11,core,,,,,prepaid,none,0.2770502032043231,740+,81-100,29.8,21-35,IL,refinance,owner,sfr,240,2023,791,80.1,29.8,0.9908784488825256,0.9125,0.0,0,0.0,2023,0.06578032080628089,0.12100446861031385,0.010566761947446374,0.3312478302788175,0.7495,0.3962,0.8299,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['interest_rate', 'remaining_term_months']}",56.7,0.736,0.567,0.685,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict
L000419,2025-05-01,2023-07-01,22,22,218,82418,81666.22,3.5,794,80.1,Atlas,Prepaid,0,complete,2025-05-03,core,,,,,prepaid,none,0.28059153826188793,740+,81-100,29.8,21-35,IL,refinance,owner,sfr,240,2023,794,80.1,29.8,0.9908784488825256,0.9083333333333333,0.0,0,0.0,2023,0.06168407832573151,0.12300270967250072,0.010799275630006025,0.3312478302788175,0.6989,0.3962,0.8299,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['interest_rate', 'remaining_term_months']}",56.7,0.737,0.567,0.686,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict
L000292,2025-01-01,2023-03-01,22,22,338,109601,102622.03,5.5,601,69.6,Beacon,Current,30,complete,2025-01-15,core,,,,,current,source_conflict,0.18119610166179492,<620,61-80,29.8,21-35,TX,purchase,owner,townhouse,360,2023,601,69.6,29.8,0.9363238474101514,0.9388888888888889,30.0,1,-0.08730118367482734,2023,0.0571677111525302,0.052276676844411,0.05258445938253472,0.17899918098279569,0.3161,0.4862,0.8299,dpd_status_break; outlier_paydown_rate; balance_source_conflict,"{'rule_breaches': ['dpd_status_break', 'outlier_paydown_rate', 'balance_source_conflict'], 'deviating_features': ['days_past_due', 'current_balance']}",56.7,0.829,0.567,0.75,4,escalate_human_review,dpd_status_break; outlier_paydown_rate; balance_source_conflict
L000419,2025-01-01,2023-07-01,18,18,222,82418,81666.22,3.5,785,80.1,Atlas,Prepaid,0,complete,2025-01-19,core,,,,,prepaid,none,0.3115646326008613,740+,81-100,29.8,21-35,IL,refinance,owner,sfr,240,2023,785,80.1,29.8,0.9908784488825256,0.925,0.0,0,0.0,2023,0.05956460974181379,0.12100446861031385,0.010386739404751951,0.17004205310612994,0.7495,0.3974,0.8299,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['interest_rate', 'current_balance']}",56.7,0.82,0.567,0.744,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict
L001096,2025-03-01,2023-12-01,15,15,225,624321,600521.67,4.0,813,64.7,Beacon,Prepaid,0,pending,2025-03-11,core,,,,,prepaid,none,0.23108884049142478,740+,61-80,42.0,36-43,GA,purchase,owner,sfr,240,2023,813,64.7,42.0,0.961879658060517,0.9375,0.0,0,0.0,2023,0.03166856406563113,0.01284733812028461,0.07896922508241848,0.5912332758554933,0.6813,0.4651,0.8299,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['interest_rate', 'current_balance']}",56.7,0.734,0.567,0.684,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; balance_source_conflict
L000510,2025-04-01,2023-12-01,16,16,164,470314,426388.42,5.25,787,49.4,Cedar,Current,15,complete,2025-04-12,core,,,,,current,none,0.0943174685256386,740+,<=60,49.9,44-50,GA,purchase,investor,sfr,180,2023,787,49.4,49.9,0.9066037158153913,0.9111111111111111,15.0,1,0.019946785158869915,2023,0.0956950677329919,0.0841939690562508,0.00521166369963371,0.3571592192952753,0.5323,0.4864,0.8299,dpd_status_break; outlier_remaining_term_months; balance_source_conflict,"{'rule_breaches': ['dpd_status_break', 'outlier_remaining_term_months', 'balance_source_conflict'], 'deviating_features': ['days_past_due', 'remaining_term_months']}",56.7,0.729,0.567,0.68,4,escalate_human_review,dpd_status_break; outlier_remaining_term_months; balance_source_conflict
L000027,2025-01-01,2023-03-01,22,22,158,594172,614398.28,4.0,747,66.9,Cedar,Prepaid,0,pending,2025-01-17,core,,,,,prepaid,none,0.18929662238765088,740+,61-80,32.4,21-35,TX,refinance,investor,condo,180,2023,747,66.9,32.4,1.0340411194065018,0.8777777777777778,0.0,0,-0.04756909665923582,2023,0.0275051387481363,0.011398769678555977,0.0062309660337125415,0.7392922522232843,0.8318,0.4389,0.8239,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'outlier_paydown_rate'], 'deviating_features': ['remaining_term_months', 'current_balance']}",58.7,0.847,0.587,0.769,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate
L000063,2025-05-01,2023-05-01,24,24,156,472669,492326.89,4.5,800,59.2,Cedar,Prepaid,0,complete,2025-05-08,core,,,,,prepaid,none,0.13374738598388466,740+,61-80,46.7,44-50,NY,purchase,second_home,sfr,180,2023,800,59.2,46.7,1.0415891247363378,0.8666666666666667,0.0,0,-0.05911999873334193,2023,0.02920008638643938,0.014087818148652233,0.007372367873860048,0.6038089176791086,0.6422,0.5416,0.8239,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'outlier_paydown_rate'], 'deviating_features': ['remaining_term_months', 'interest_rate']}",58.7,0.777,0.587,0.72,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate
